iter	likelihood	#indels	#substs	rs07:mean_length	rs07:rate	P1/#indels	P1/#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/|indels|	f:pi[A]	f:pi[C]	f:pi[D]	f:pi[E]	f:pi[F]	f:pi[G]	f:pi[H]	f:pi[I]	f:pi[K]	f:pi[L]	f:pi[M]	f:pi[N]	f:pi[P]	f:pi[Q]	f:pi[R]	f:pi[S]	f:pi[T]	f:pi[V]	f:pi[W]	f:pi[Y]	sigma	prior_A	scale	scale*|T|	scale1	scale1*|T|	|A|	|T|	|indels|	posterior	prior
0	-3.1907808024545555E5	71	25016	9.79738932243723E0	2.6593341777955238E-2	71	25016	-3.1907808024545555E5	-9.872295744862776E2	383	393	1.6291425861190378E-1	2.0642689291269258E-3	2.8568434911207426E-2	1.654025519977754E-1	7.328282579307964E-2	5.2223952921935934E-3	2.3129845065266726E-2	3.47134179966575E-2	1.84929314288502E-2	8.181159679147574E-3	1.1948188723267562E-2	4.2242722406552524E-2	3.934647347412255E-3	9.486736328421239E-2	8.390698608384399E-2	2.4654653164725812E-3	7.260095524558971E-3	3.7178496198114044E-2	7.50424389847851E-2	1.1918150642557193E-1	3.191690130118235E0	-9.872295744862776E2	1.4129698296155618E-1	1.3607564854870355E-1	1.4129698296155618E-1	1.3607564854870355E-1	383	9.630470919943616E-1	393	-3.1963204754933313E5	-5.539673038775896E2
1	-1.1925808832743832E5	6247	1000	9.869457594342151E0	2.6214064214556656E-2	6247	1000	-1.1925808832743832E5	-2.5628186732026963E4	56238	111983	9.937609695522005E-2	1.259183763228792E-3	1.742646458195036E-2	1.0089393147059218E-1	4.470180365559152E-2	3.185609812900652E-3	1.4108978215595022E-2	2.1174843883375448E-2	1.1280506459766517E-2	1.5816313412989827E-1	7.288277718104816E-3	2.5767645590349067E-2	2.400096220015388E-3	5.7868159435181095E-2	5.118243703979337E-2	1.6356221426749631E-1	7.92074011837673E-2	2.2678517364367153E-2	4.577515041254524E-2	7.26995478402614E-2	3.1485302020778163E0	-2.5628186732026963E4	1.766143209110754E4	9.127266285534609E5	1.766143209110754E4	9.127266285534609E5	56238	5.167908377107285E1	111983	-1.6366695095775352E5	-4.4408862630315205E4
2	-1.185765470194908E5	5589	968	1.0105748458997887E1	3.049244538359183E-2	5589	968	-1.185765470194908E5	-2.432605424960754E4	51901	102243	9.088428299609783E-2	1.151584908118749E-3	1.5937351005052308E-2	9.227241662040878E-2	4.0881977641982384E-2	2.913395400115893E-3	1.290334807081152E-2	1.93654265246709E-2	1.031657282626732E-2	1.4464789302691952E-1	6.665485111423447E-3	2.3565767480601605E-2	2.1950049434527035E-3	5.292325156360495E-2	4.680883265571033E-2	1.4958561489544073E-1	7.243902794667793E-2	1.2373748654691531E-1	4.186360555252392E-2	4.894167428320404E-2	2.882275010028524E0	-2.432605424960754E4	4.002354814715149E3	6.585402508968294E4	4.002354814715149E3	6.585402508968294E4	51901	1.645381984814603E1	102243	-1.4807530284715688E5	-2.949875582766607E4
3	-1.181751676794058E5	5776	1141	1.0101124857000247E1	3.243261520628066E-2	5776	1141	-1.181751676794058E5	-2.610168437339098E4	51800	103714	8.02831170639931E-2	1.0172586825776553E-3	1.4078344178426305E-2	5.10374225531707E-2	3.611331342053654E-2	2.57356339567806E-3	1.1398241472960608E-2	1.7106553008082417E-2	1.562038523130322E-1	1.27775489293773E-1	5.88799189307229E-3	2.081694663783849E-2	1.938969346755183E-3	4.675003708694582E-2	4.13488324696208E-2	1.3213725229317902E-1	6.107634841719228E-2	1.0930416998587972E-1	3.6980439681065805E-2	4.617185680622007E-2	2.781777774803839E0	-2.610168437339098E4	1.271706280099137E3	7.338534776198076E3	1.271706280099137E3	7.338534776198076E3	51800	5.770620850929503E0	103714	-1.4589350487269508E5	-2.7718337193289288E4
4	-1.1532943413547192E5	4069	4133	1.0599345968505826E1	3.366962398175109E-2	4069	4133	-1.1532943413547192E5	-1.9907431560167377E4	36854	72228	6.0595458550426175E-2	7.677984934997185E-4	1.0625941696340437E-2	3.8521623673083386E-2	2.725732216835067E-2	1.942453902797524E-3	8.60307489271992E-3	1.2911549297664615E-2	1.1789831292557505E-1	9.64413770717156E-2	4.8414976764023995E-2	1.5712050967504325E-2	1.6546999983116975E-1	3.528562465100695E-2	3.120894598579507E-2	9.97335141822692E-2	6.938803093951462E-2	8.249974021921316E-2	2.7911804895223425E-2	4.881039889210644E-2	2.5924686567584363E0	-1.9907431560167377E4	8.814609449048132E2	1.7226076476976311E3	8.814609449048132E2	1.7226076476976311E3	36854	1.9542642900459433E0	72228	-1.3573254314121988E5	-2.040310900574795E4
5	-1.1388269964996644E5	3576	5217	1.0682454248411144E1	3.652788010488163E-2	3576	5217	-1.1388269964996644E5	-1.819847005956572E4	33813	65816	6.005172123174099E-2	7.609088568151698E-4	1.0530592619286004E-2	3.8175960072733335E-2	4.35207461727764E-2	1.9250238065156753E-3	2.195585067797963E-2	1.279569092538509E-2	1.1684038360081697E-1	9.55759858850866E-2	2.7015789681256005E-2	1.5571063034274867E-2	1.6398519855755342E-1	3.4968998431900045E-2	3.0928900764333703E-2	9.883858187410967E-2	6.876539579829362E-2	8.175945062305986E-2	2.7661345697183638E-2	4.8372411688899414E-2	2.5554662483582846E0	-1.819847005956572E4	5.280246312455429E2	1.107443556786234E3	5.280246312455429E2	1.107443556786234E3	33813	2.097333137990013E0	65816	-1.3239347997382528E5	-1.8510780323858835E4
6	-1.1164676585511E5	3221	7676	1.0308923362862979E1	2.6530340616553787E-2	3221	7676	-1.1164676585511E5	-1.7210642664593182E4	28423	53400	6.30218489468963E-2	6.96920533063707E-4	9.645026675635385E-3	3.496556809112133E-2	3.9860886557441015E-2	1.7631397050791749E-3	2.010948226100298E-2	1.1719642452268048E-2	1.0701473861570376E-1	8.753856185866904E-2	2.4743907732396587E-2	1.4261620761829824E-2	1.50194929352818E-1	6.155514259408968E-2	7.644722154038669E-2	9.052679115246182E-2	6.141091941425014E-2	7.488392256296146E-2	2.5335175975252713E-2	4.4304553216672156E-2	2.522840286697477E0	-1.7210642664593182E4	4.357267220187864E2	7.276219030962336E2	4.357267220187864E2	7.276219030962336E2	28423	1.6699042457737125E0	53400	-1.2902081730747146E5	-1.737405145236146E4
7	-1.0798163203769256E5	2900	10568	9.750130405551499E0	2.1055945468927438E-2	2900	10568	-1.0798163203769256E5	-1.6876080254290093E4	22643	42122	6.339912795940789E-2	7.010926336114848E-4	9.702766430984326E-3	3.5174888750888714E-2	4.009951294129877E-2	1.7736947049398226E-3	2.2903780059454704E-2	1.1789801852623096E-2	1.0765538016436951E-1	9.863068719277923E-2	2.4892036631039702E-2	3.96576491315762E-2	9.425660058949507E-2	6.192364119895411E-2	7.69048712719316E-2	9.106872794014037E-2	6.376864342100136E-2	7.53322136370833E-2	2.548684448916453E-2	5.487803899925613E-2	2.3772875060529426E0	-1.6876080254290093E4	3.6021300312035896E2	5.500206015357646E2	3.6021300312035896E2	5.500206015357646E2	22643	1.5269315565268051E0	42122	-1.2493497681150092E5	-1.6953344773808363E4
8	-1.0437072301219765E5	2733	11849	9.479777260587134E0	2.092064346701897E-2	2733	11849	-1.0437072301219765E5	-1.689188525690114E4	19713	36389	6.261888129319412E-2	6.924643573608614E-4	9.583355464232961E-3	3.474199494673587E-2	3.960601228448727E-2	1.7518660233009143E-3	2.262190555092006E-2	3.974918037351656E-2	1.0633047627094362E-1	9.741684928450688E-2	2.4585692849638244E-2	3.916958644805475E-2	8.946180641663855E-2	6.116155319931733E-2	7.59584107864823E-2	7.842168171031766E-2	6.298384916531273E-2	7.440510769035054E-2	2.51731804675125E-2	5.356614541717639E-2	2.369186087566565E0	-1.689188525690114E4	2.662409795275412E2	4.100622136482868E2	2.662409795275412E2	4.100622136482868E2	19713	1.540191950825767E0	36389	-1.2129742621472801E5	-1.6926703202530367E4
9	-1.0159549718251645E5	2465	14140	8.880911524642105E0	2.0425263682649512E-2	2465	14140	-1.0159549718251645E5	-1.6783067968514973E4	15233	27233	5.869676136189227E-2	5.9674725349384346E-2	8.983104091184177E-3	3.256593769340083E-2	3.71252983692539E-2	1.6421382781694183E-3	2.4814135340084843E-2	3.725949915634627E-2	9.96704901505526E-2	9.131516624046758E-2	2.3045773356363746E-2	3.671620796961388E-2	8.385838574238416E-2	5.7330712694370574E-2	7.120077234352189E-2	7.350975683190761E-2	5.903886955118107E-2	6.974476004701598E-2	2.3596463815811156E-2	5.0211041617093735E-2	2.242671280590945E0	-1.6783067968514973E4	2.3281660997867272E2	3.5847041159901255E2	2.3281660997867272E2	3.5847041159901255E2	15233	1.5397114992433332E0	27233	-1.1838985440247902E5	-1.679435721996256E4
