,n_sequences,alignment_length,log_likelihood,aic_score,bic_score,freq_A,freq_R,freq_N,freq_D,freq_C,freq_Q,freq_E,freq_G,freq_H,freq_I,freq_L,freq_K,freq_M,freq_F,freq_P,freq_S,freq_T,freq_W,freq_Y,freq_V,gamma_shape,prop_invariant,indel_rate,mean_indel_length,total_gaps
count,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
mean,147.83333333333334,1521.3333333333333,-50980.23444722222,102492.46902222221,103902.8099,0.07460358006540216,0.05493988824899396,0.03941460362637232,0.05200353853996231,0.017734113414926388,0.046041433858118125,0.07160092926677523,0.05553156231767106,0.02416253592555287,0.04991979102463499,0.10093583387437352,0.06536808399040286,0.022508415650462556,0.03903916650459651,0.055293521112178674,0.07353100232090924,0.05231264302893492,0.010832191367610931,0.030546352889154655,0.06376414630630005,1.1067238161073185,0.6471269005847954,12.223245915060195,18.118574398303046,226698.44444444444
std,124.56335163854806,1120.83055938761,49031.39504277526,98274.98117470025,99016.91584355086,0.010740882327341415,0.008028193124701771,0.008862437143896307,0.007913139836844565,0.009312988429045524,0.012569912032868941,0.007871216921715347,0.012430468142215614,0.005148940399966331,0.013299109499530712,0.016369357594850614,0.015844395186676664,0.0038749251651665146,0.00933920257424499,0.021599293746022843,0.017458911492736352,0.005106536229618761,0.003937033556789046,0.006992304010647634,0.007791363430648106,0.6283519001003576,0.47740600930472754,10.431221587029432,12.300703702041254,455294.3223721455
min,34.0,265.0,-216365.9299,0.0,0.0,0.05002888235447792,0.0374,0.0241,0.0404,0.0023,0.037291618892252854,0.0503,0.0302,0.0136,0.022,0.0552,0.0393,0.0126,0.0109,0.0333,0.057,0.034,0.0001,0.016,0.035,0.5869,0.0,2.6913793103448276,4.8804386275203395,3441.0
25%,83.25,745.75,-63014.035925,35966.690275,36794.340299999996,0.069825,0.052425,0.03495,0.0487,0.0129,0.0408,0.071325,0.050925,0.0224,0.038325,0.09787499999999999,0.0591,0.0216,0.03515,0.044,0.0612,0.051116361781243014,0.00955,0.0242,0.060725,0.8265,0.0,5.998880866722521,9.792936391408182,41201.25
50%,105.5,1128.0,-35501.549,71507.09805,72733.6433,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.05355623844342977,0.0991,0.0646,0.023,0.0423,0.04745,0.0624,0.0533,0.0121,0.0342,0.069,0.9323999999999999,0.79505,10.920599233925302,14.536580877533694,102329.5
75%,162.75,2122.75,-17814.345175000002,126505.071925,128218.85329999999,0.0791,0.0559,0.042,0.0531,0.0216,0.046475,0.072525,0.0573,0.026375000000000003,0.0622,0.10222500000000001,0.0646,0.023,0.0423,0.05905,0.0842,0.05365,0.0121,0.0342,0.0691,1.1519,0.958375,14.73641085026494,20.61538980354178,173080.75
max,634.0,4560.0,0.0,433873.8597,437460.8686,0.1075,0.0722,0.0771,0.0861,0.0487,0.1061,0.0916,0.0931,0.0414,0.0622,0.1391,0.1294,0.032,0.0662,0.1514,0.1292,0.0611,0.02,0.0449,0.0704,3.4448573798634667,1.6013,60.70796460176991,54.4375400384369,2534452.0
