iter	likelihood	#indels	#substs	rs07:mean_length	rs07:rate	P1/#indels	P1/#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/|indels|	f:pi[A]	f:pi[C]	f:pi[D]	f:pi[E]	f:pi[F]	f:pi[G]	f:pi[H]	f:pi[I]	f:pi[K]	f:pi[L]	f:pi[M]	f:pi[N]	f:pi[P]	f:pi[Q]	f:pi[R]	f:pi[S]	f:pi[T]	f:pi[V]	f:pi[W]	f:pi[Y]	sigma	prior_A	scale	scale*|T|	scale1	scale1*|T|	|A|	|T|	|indels|	posterior	prior
30	-5.981557987682077E3	56	773	2.1185690450031283E0	4.330013051010011E-2	56	773	-5.981557987682077E3	-5.312109427303996E2	181	115	6.579283884499817E-2	1.5209790061497622E-2	6.587616775225487E-2	7.613834284415394E-2	2.7520296023323135E-2	9.873715248094152E-2	2.2156497645113862E-2	3.691498512760925E-2	3.746387570069697E-2	8.61569947341585E-2	2.1670508571505175E-2	4.042905428573744E-2	8.321094360603931E-2	3.355652998233397E-2	5.014956630102567E-2	4.977220326642563E-2	5.7192541448600774E-2	6.552139389608826E-2	2.8776465726591902E-2	3.775385170090413E-2	1.3349605846322743E-1	-5.312109427303996E2	5.598487037397637E0	4.414515005717177E0	5.598487037397637E0	4.414515005717177E0	181	7.88519286769518E-1	115	-6.074379627460643E3	-9.282163977856612E1
31	-5.984106222937081E3	56	774	2.046298023389241E0	4.179131299468399E-2	56	774	-5.984106222937081E3	-5.279336218095319E2	181	115	6.924278135239056E-2	1.001494135688165E-2	6.933047973122328E-2	8.013076679228749E-2	2.8963362483649648E-2	7.316902957289342E-2	1.672624687167961E-2	3.885067567672102E-2	3.942834811958737E-2	9.067476116072687E-2	1.7013054197194556E-2	4.254901012534845E-2	8.757422958771009E-2	3.200345270508284E-2	5.277923122423721E-2	5.238208061401892E-2	6.019151494348485E-2	6.895710279562754E-2	3.028540125917437E-2	3.973352943008057E-2	2.093271453335164E-1	-5.279336218095319E2	4.303657327469995E0	4.696473658080129E0	4.303657327469995E0	4.696473658080129E0	181	1.0912750018694124E0	115	-6.180972644882362E3	-1.9686642194528156E2
32	-5.9586648987795415E3	56	773	2.054135441272046E0	4.18472807291353E-2	56	773	-5.9586648987795415E3	-5.352424683214347E2	181	118	6.871877291507757E-2	1.4111026113224111E-2	6.880580761909033E-2	7.952436137258277E-2	2.874417651194311E-2	7.261530847594508E-2	2.250889244326127E-2	3.8556665507685405E-2	3.912996630013343E-2	8.998856197907136E-2	1.6884304546044306E-2	4.222701207920514E-2	8.691149429171435E-2	3.1761260249594025E-2	5.2379813957394E-2	5.198566886293596E-2	4.957307807147667E-2	7.608478011523238E-2	3.0056210497664482E-2	3.943283809072455E-2	7.233206155553727E-4	-5.352424683214347E2	4.615270198394174E0	4.887153389471832E0	4.615270198394174E0	4.887153389471832E0	181	1.058909485120125E0	118	-6.1474220799180475E3	-1.8875718113850633E2
33	-5.9427122283551635E3	58	767	2.060051952464577E0	3.7272698062475414E-2	58	767	-5.9427122283551635E3	-5.493599920251582E2	182	122	8.781567970967603E-2	1.1841958008888834E-2	5.452389689521188E-2	8.080292072994312E-2	2.9206313336617228E-2	7.378278697608097E-2	2.28707809835831E-2	3.319263348241092E-2	3.975908150084322E-2	9.143536036874583E-2	1.715576331914562E-2	4.290592028412975E-2	8.413557220435705E-2	3.227190448228919E-2	5.3221954656371175E-2	5.282147266225146E-2	5.037009324704643E-2	7.73080393264981E-2	2.451104508874574E-2	4.006682273716465E-2	4.41014127172396E-2	-5.493599920251582E2	5.224940117860945E0	4.6546511446702E0	5.224940117860945E0	4.6546511446702E0	182	8.908525341292872E-1	122	-6.08689075532917E3	-1.441785269740068E2
34	-5.972258877301497E3	57	770	1.984803671389547E0	3.324688722434511E-2	57	770	-5.972258877301497E3	-5.370764953732588E2	181	118	9.393903495703952E-2	1.2667693412321551E-2	5.832582829588877E-2	9.008473470733933E-2	3.124285888995321E-2	8.350450159096409E-2	2.4465552181735014E-2	3.550714368241497E-2	4.429075056750637E-2	9.02763899675618E-2	1.835202842453592E-2	4.5897734422372265E-2	7.401574435788405E-2	3.452221258566387E-2	5.693310210062564E-2	5.6504694643441974E-2	5.3882381437654205E-2	4.441971485787154E-2	1.1517121684072037E-2	3.965077723315401E-2	1.1433055345493012E-1	-5.370764953732588E2	5.438691914411683E0	4.771393597006681E0	5.438691914411683E0	4.771393597006681E0	181	8.773053653514064E-1	118	-6.079314558074598E3	-1.0705568077310068E2
35	-5.98281965784587E3	56	772	2.224941741460767E0	3.876260434587223E-2	56	772	-5.98281965784587E3	-5.362016798661829E2	181	118	9.45387898492429E-2	1.2748570452419386E-2	5.8698210244226556E-2	9.065988177350068E-2	3.14423292962038E-2	8.403763708009371E-2	2.4621752792249728E-2	3.573383946592431E-2	4.457352539422638E-2	9.085276065902426E-2	1.846919716950445E-2	4.4672478549738937E-2	7.448829876297258E-2	3.474262006480612E-2	5.875798899368069E-2	5.053783126732225E-2	5.422639414638152E-2	4.4703313058645805E-2	1.159065288520991E-2	3.9903928094626305E-2	7.458876311547516E-2	-5.362016798661829E2	5.012118573333575E0	4.9462376691163525E0	5.012118573333575E0	4.9462376691163525E0	181	9.868556772444022E-1	118	-6.1553821861710185E3	-1.725625283251486E2
36	-5.953542942934499E3	57	767	2.228648664239409E0	3.307585128575835E-2	57	767	-5.953542942934499E3	-5.417889878279616E2	184	124	8.944281021722811E-2	1.2061376809826392E-2	5.553416631773561E-2	8.577298919009273E-2	3.220131618812544E-2	7.950770722203515E-2	2.329455206402068E-2	3.380765743649044E-2	4.217085260881955E-2	8.595547121234313E-2	1.747364124219094E-2	4.2264471834568246E-2	7.04731124682796E-2	4.038001063166992E-2	5.559072277832682E-2	4.781366101725704E-2	5.130339713607254E-2	5.981266247389605E-2	3.738645780993054E-2	3.7752963341091045E-2	7.061660456817305E-3	-5.417889878279616E2	4.555803240316611E0	4.819502620622598E0	4.555803240316611E0	4.819502620622598E0	184	1.0578820827845192E0	124	-6.139409167087461E3	-1.8586622415296245E2
37	-5.951755463340287E3	57	769	1.9657128265718629E0	3.483547857980227E-2	57	769	-5.951755463340287E3	-5.439401928308022E2	181	118	8.901560220035369E-2	1.5061185103479554E-2	5.729635503822592E-2	8.536330943467922E-2	3.204751220549045E-2	7.912795249556732E-2	2.318328969014089E-2	3.364618104444131E-2	4.196943087051366E-2	8.139966722601476E-2	2.283039265849848E-2	4.2062602940323546E-2	7.013650991132256E-2	4.018714253839974E-2	4.2202300018349E-2	5.997754905620757E-2	5.105835538820938E-2	6.386887877003876E-2	3.199314052773648E-2	3.7572642882007644E-2	1.1369208520482824E-2	-5.439401928308022E2	4.25618271818611E0	4.726282275531851E0	4.25618271818611E0	4.726282275531851E0	181	1.1104509811895686E0	118	-6.159761091531191E3	-2.080056281909034E2
38	-5.945332122210935E3	56	773	2.5589149204861528E0	4.3490474362807986E-2	56	773	-5.945332122210935E3	-5.457168293908724E2	181	120	9.109252447770716E-2	7.822779564824132E-3	5.863320018950854E-2	8.735501599679915E-2	2.422905008190855E-2	8.097417499181593E-2	2.3724204873879336E-2	3.4431217613668616E-2	4.294866646279357E-2	8.32988936318571E-2	2.3363074008071756E-2	4.304401243406153E-2	7.177294303416751E-2	4.112479357415097E-2	4.318696894039237E-2	6.137695213495687E-2	5.047913821827088E-2	5.995348949500952E-2	3.2739608165342285E-2	3.844929211081416E-2	1.1685455491745475E-1	-5.457168293908724E2	4.996149986389758E0	4.5382192824992E0	4.996149986389758E0	4.5382192824992E0	181	9.083432833005357E-1	120	-6.1056614040227405E3	-1.6032928181180546E2
39	-5.971307585250672E3	56	770	1.820149533825648E0	4.5167875566944994E-2	56	770	-5.971307585250672E3	-5.387400587211584E2	181	118	9.371903327509283E-2	8.078831420397172E-3	5.824128115995833E-2	8.677111313996798E-2	2.4067097028615647E-2	8.04329232781307E-2	2.3565626332695006E-2	3.420107071140563E-2	4.26615867941729E-2	8.588261858144933E-2	2.3206909356254038E-2	4.275629544903292E-2	7.129319466479662E-2	4.0849905129789414E-2	4.289829639818714E-2	6.096669317860221E-2	5.0141722985960646E-2	5.9552745320291305E-2	3.2520768405299466E-2	3.8192287389900784E-2	6.877673791821609E-2	-5.387400587211584E2	4.748528307613394E0	5.096393442668421E0	4.748528307613394E0	5.096393442668421E0	181	1.0732574626326412E0	118	-6.18367231341498E3	-2.123647281643082E2
40	-5.979143481976069E3	59	766	1.857092483427159E0	4.1667588254583256E-2	59	766	-5.979143481976069E3	-5.476413482159148E2	183	119	9.391298314581806E-2	8.095550418180658E-3	5.8361810454351376E-2	8.695068441367906E-2	2.411690345740936E-2	8.059937778077217E-2	2.154491278149381E-2	3.4271849218303695E-2	4.274987418846746E-2	8.606035113149092E-2	2.3254935641975165E-2	4.284477884120245E-2	7.144073466180276E-2	4.093444328113594E-2	4.298707365879267E-2	6.109286266464274E-2	5.024549038892266E-2	5.967598866641395E-2	3.258806955649229E-2	3.8271325648652654E-2	2.7582839064507376E-2	-5.476413482159148E2	5.959332206864435E0	5.04107713994208E0	5.959332206864435E0	5.04107713994208E0	183	8.459130931038489E-1	119	-6.098247368803226E3	-1.1910388682715757E2
41	-5.95904495451484E3	56	772	2.3320832033804946E0	2.90028809590309E-2	56	772	-5.95904495451484E3	-5.316181509091944E2	181	115	9.363928663691276E-2	8.071957046818122E-3	5.819172296229559E-2	7.632749660864618E-2	2.0708865788013727E-2	8.036448194869872E-2	2.148212308814749E-2	4.6312306773262535E-2	4.262528554343041E-2	8.580954004157718E-2	2.3187162321537207E-2	4.2719913609571496E-2	7.571408934953941E-2	4.081514546048602E-2	4.286179372843204E-2	6.091481589549282E-2	5.00990567985177E-2	5.9502071182202965E-2	3.249309609733035E-2	3.8159789119087295E-2	1.4492088380453034E-2	-5.316181509091944E2	4.737761321904469E0	4.972437034568996E0	4.737761321904469E0	4.972437034568996E0	181	1.0495330382262045E0	115	-6.127590649849962E3	-1.6854569533512154E2
42	-5.975801494866089E3	57	773	2.0028130373852857E0	3.0883886143484102E-2	57	773	-5.975801494866089E3	-5.358670879770192E2	182	116	9.382482060334293E-2	8.087950571134013E-3	5.8307022229967975E-2	7.647872953343766E-2	2.0749897689771143E-2	8.052371363052328E-2	2.1524687097838634E-2	4.640406853564644E-2	4.2709741956770644E-2	8.597956039193712E-2	2.32331046428671E-2	4.280455751601507E-2	7.58641068882904E-2	4.223071938354921E-2	4.29467187517247E-2	5.3587866039697125E-2	5.432989316154008E-2	5.9619966733031445E-2	3.255747690603846E-2	3.823539773687671E-2	2.1595771214948736E-2	-5.358670879770192E2	4.4700702924780025E0	4.828818073650614E0	4.4700702924780025E0	4.828818073650614E0	182	1.0802555122625908E0	116	-6.144413510540916E3	-1.6861201567482658E2
43	-5.946077095125335E3	56	770	2.3456363059787275E0	3.4322728870082087E-2	56	770	-5.946077095125335E3	-5.35286411180695E2	181	120	9.200475991974383E-2	7.931056470503146E-3	5.717595352068528E-2	5.4998289326247646E-2	3.613809278760805E-2	8.951862426621529E-2	2.1107140477854443E-2	4.550389926105942E-2	4.813447603162329E-2	8.431168598028145E-2	2.3851791016417025E-2	4.197421335214912E-2	7.003760897951794E-2	4.141150681809118E-2	5.125641067409851E-2	5.254834187679824E-2	5.3275974786300084E-2	5.846342887118968E-2	3.192591072458652E-2	3.843083485902977E-2	3.209582570697136E-2	-5.35286411180695E2	5.072782045256071E0	4.60208075357985E0	5.072782045256071E0	4.60208075357985E0	181	9.072104246788193E-1	120	-6.056209955888366E3	-1.1013286076303018E2
44	-5.9682565742843035E3	57	773	2.1493732774722805E0	3.800450143791425E-2	57	773	-5.9682565742843035E3	-5.403919621548864E2	181	118	9.238945442665446E-2	7.964218166276953E-3	5.7415020230559555E-2	5.522825068707012E-2	3.628919503272827E-2	8.989292362911185E-2	2.1195394618243532E-2	4.368495536818812E-2	4.833573810261331E-2	8.466421385485316E-2	2.3951521215071964E-2	3.9977679026071515E-2	7.033045343099065E-2	4.158465850295736E-2	5.1470726320892016E-2	5.276805940537937E-2	5.349873472685617E-2	5.8707878831838735E-2	3.205940080156277E-2	3.859152362208023E-2	3.831305553827641E-2	-5.403919621548864E2	4.260070347486046E0	4.507723436022476E0	4.260070347486046E0	4.507723436022476E0	181	1.0581335678371075E0	118	-6.158811326836316E3	-1.905547525520127E2
45	-5.979466369948063E3	56	773	1.927715521912229E0	3.4399347205201235E-2	56	773	-5.979466369948063E3	-5.298243588911088E2	181	118	8.932591073365093E-2	1.6913291392971326E-2	5.5511194472494946E-2	6.484344137279391E-2	3.5085880917966966E-2	8.691216244875181E-2	2.0492576121193207E-2	4.223640509448131E-2	4.673297243493111E-2	8.185683156227727E-2	2.3157312263285962E-2	3.865205839976433E-2	6.799836457548562E-2	4.020575201332572E-2	5.320866347036651E-2	6.007302135633161E-2	5.172476915499275E-2	5.6761183150594335E-2	3.099634251491523E-2	3.731186654942506E-2	3.267031094567346E-2	-5.298243588911088E2	5.098304105165371E0	4.885253954293235E0	5.098304105165371E0	4.885253954293235E0	181	9.582115647718457E-1	118	-6.121553103398513E3	-1.4208673345044951E2
46	-5.970259450745376E3	59	770	2.0743436315959225E0	3.499665637505421E-2	59	770	-5.970259450745376E3	-5.552936770807587E2	183	121	8.885846039315788E-2	1.6824782652835702E-2	6.346717562061636E-2	6.450410994589321E-2	3.490227341990847E-2	8.645734346514473E-2	2.0385336669540767E-2	4.201537827504604E-2	4.64884146834619E-2	8.14284675694425E-2	2.3036128013234996E-2	3.844978878156137E-2	6.462913492753741E-2	3.999535177991026E-2	5.2930217858649584E-2	5.9758653956583564E-2	5.145408889262721E-2	5.646414689120875E-2	3.08341359306931E-2	3.711661027294593E-2	9.367440311814127E-4	-5.552936770807587E2	4.934146042704842E0	5.083701241900629E0	4.934146042704842E0	5.083701241900629E0	183	1.0303102498185892E0	121	-6.167975071531434E3	-1.977156207860578E2
47	-5.974903694658289E3	57	772	2.1350297654384995E0	3.823638666926436E-2	57	772	-5.974903694658289E3	-5.311439215220254E2	181	115	8.614530759953343E-2	1.631106447839634E-2	7.793378515567355E-2	6.253457879122744E-2	3.681650899826906E-2	8.381750498590558E-2	1.9762902599794064E-2	4.073250503553955E-2	5.6217984557179336E-2	7.89421778758209E-2	2.2332756215019463E-2	3.727578518769541E-2	6.265578633245325E-2	3.877415686010709E-2	5.131407722538914E-2	5.7934017808172124E-2	4.988301952675305E-2	5.474010331449492E-2	2.989266427262915E-2	3.598331317994714E-2	5.3644012185347326E-2	-5.311439215220254E2	4.948847983630375E0	5.035146916950876E0	4.948847983630375E0	5.035146916950876E0	181	1.0174381863427524E0	115	-6.154014057694116E3	-1.7911036303582648E2
48	-5.976120788334904E3	57	776	1.8214183774610757E0	3.5553639787347525E-2	57	776	-5.976120788334904E3	-5.377425715034079E2	182	119	8.720840821200851E-2	1.6512355797915615E-2	7.889554914538095E-2	6.330630450521381E-2	3.7270853574379974E-2	8.131056576203884E-2	2.0006792307122014E-2	4.1520351899678266E-2	5.691175854766394E-2	7.991638622202638E-2	2.2608359930091377E-2	3.773579759194322E-2	6.34290078424952E-2	3.9252660345146684E-2	5.1947333155944325E-2	4.956432234021346E-2	5.049861508371041E-2	5.5415639092150026E-2	3.0261563178237288E-2	3.6427375466639725E-2	5.151490284353432E-2	-5.377425715034079E2	4.952392534107022E0	4.961519327506338E0	4.952392534107022E0	4.961519327506338E0	182	1.0018429058957785E0	119	-6.159203540751262E3	-1.8308275241635783E2
49	-5.957292055836719E3	57	769	2.3150153412238574E0	3.0093773453979334E-2	57	769	-5.957292055836719E3	-5.415364015382892E2	182	121	8.455927495682876E-2	1.601075931470409E-2	7.64989359378724E-2	6.1383246396876444E-2	3.613867538563476E-2	7.884059149953375E-2	1.939904518827283E-2	4.0259086532733315E-2	5.518294781403772E-2	7.748876300638548E-2	2.192158488897061E-2	3.658949578044216E-2	8.21851607691733E-2	3.806028073397651E-2	5.0369326968206514E-2	4.805870496599531E-2	4.896461666198072E-2	5.373227603822102E-2	2.9342306480255813E-2	4.50149206798986E-2	3.984151967457047E-2	-5.415364015382892E2	4.625002240733477E0	4.6933970101399E0	4.625002240733477E0	4.6933970101399E0	182	1.0147880510854792E0	121	-6.125019350534743E3	-1.6772729469802448E2
50	-5.949239004944635E3	57	773	2.3392556932706015E0	2.82539072679443E-2	57	773	-5.949239004944635E3	-5.373345137975584E2	182	118	7.898415200633177E-2	1.6291318286724078E-2	7.783943843406829E-2	6.245887436491049E-2	3.6771938894071E-2	8.022212718249433E-2	1.973897760929129E-2	4.096455263275233E-2	3.3842871711274446E-2	7.884661039293674E-2	1.9289170794295048E-2	3.6587992495538915E-2	8.362530384842881E-2	3.872721682536538E-2	5.1251956349972344E-2	4.890084496678145E-2	6.532261814893355E-2	5.467383488832083E-2	2.9856476182078488E-2	4.580372398543047E-2	1.172436958321847E-1	-5.373345137975584E2	4.785682850947616E0	4.757949614665904E0	4.785682850947616E0	4.757949614665904E0	182	9.942049573393229E-1	118	-6.095017984532839E3	-1.4577897958820472E2
51	-5.9631945613196895E3	58	768	2.986275441514949E0	3.0238477950404706E-2	58	768	-5.9631945613196895E3	-5.473711737070782E2	182	119	7.840156748119385E-2	1.6171154055206076E-2	7.277724041861246E-2	6.19981797478484E-2	3.650071027396395E-2	7.963041139289617E-2	1.959338355522972E-2	4.06623994306628E-2	3.669739241923667E-2	9.2554923218933E-2	1.9146894500607702E-2	3.0788117379847726E-2	8.300848633890935E-2	3.844156613910733E-2	5.08739235941083E-2	4.854015393167948E-2	6.484080065126628E-2	5.427056246813547E-2	2.9636255789037697E-2	4.5465877213517775E-2	2.1642063043289386E-2	-5.473711737070782E2	4.465904390725106E0	4.676631343604657E0	4.465904390725106E0	4.676631343604657E0	182	1.0471857286773076E0	119	-6.125622531566447E3	-1.624279702467578E2
52	-5.972144090809172E3	57	771	2.2840495807774097E0	5.161991177938346E-2	57	771	-5.972144090809172E3	-5.367266695067758E2	182	116	7.829777873585773E-2	1.6149746526709537E-2	7.26808972112667E-2	6.191610596417443E-2	3.6452390284390776E-2	7.952499589222968E-2	1.9567445646570245E-2	4.060857015715654E-2	3.6648812059957334E-2	9.243239812582336E-2	2.0445357228450808E-2	3.074735977541741E-2	8.289859891030109E-2	3.839067682596585E-2	5.0806576207189987E-2	4.847589601137451E-2	6.475496377883641E-2	5.419871857816982E-2	2.9597023030004627E-2	4.54056890501532E-2	7.266223018129887E-2	-5.367266695067758E2	4.389563172437587E0	4.544265349338478E0	4.389563172437587E0	4.544265349338478E0	182	1.0352431827094501E0	116	-6.13490461538613E3	-1.6276052457695857E2
53	-5.975980174295166E3	57	772	1.8135338132913388E0	4.062462064341681E-2	57	772	-5.975980174295166E3	-5.415909034165126E2	182	116	8.853434045008067E-2	1.548272707018201E-2	6.967901897883665E-2	5.935883688987527E-2	3.494682773476123E-2	7.624044158342613E-2	1.875926782537527E-2	3.893134839074747E-2	3.513513686622084E-2	8.86147401915979E-2	1.9600919760377988E-2	2.9477427323342326E-2	7.947470750119495E-2	3.680505885048688E-2	5.094804458192803E-2	6.504670015597287E-2	6.208044373755997E-2	5.897907423548073E-2	2.8374601973200044E-2	4.353033589935289E-2	7.151884670380912E-2	-5.415909034165126E2	4.6922491452691E0	4.590655244468988E0	4.6922491452691E0	4.590655244468988E0	182	9.783485706630597E-1	116	-6.1611441072256885E3	-1.851639329305225E2
54	-5.954056276124135E3	57	771	2.1445241741835543E0	3.4007681775010505E-2	57	771	-5.954056276124135E3	-5.39149802635445E2	182	116	7.208862799185838E-2	1.6403365393464157E-2	7.382229263533384E-2	6.288844894197423E-2	2.1223295573576943E-2	8.077387241815509E-2	1.987473674751466E-2	4.1246295308244835E-2	3.7224352373681574E-2	9.388397509177217E-2	2.2126628223840216E-2	3.1230222495834778E-2	8.42004551763672E-2	3.899357173421975E-2	5.7588675532209074E-2	4.199262112704318E-2	6.577188875057906E-2	6.2486104732547294E-2	3.0061820630868867E-2	4.6118749120914494E-2	1.871790453751247E-2	-5.39149802635445E2	4.616866269462704E0	4.857554353676417E0	4.616866269462704E0	4.857554353676417E0	182	1.0521323491229744E0	116	-6.118291175034992E3	-1.6423489891085683E2
55	-5.988469560274355E3	57	772	2.3371440408775825E0	4.3232940511328345E-2	57	772	-5.988469560274355E3	-5.422212635881668E2	182	118	7.347452714069352E-2	1.6718719018163485E-2	7.524152137332457E-2	7.210372705844212E-2	2.1631312040116146E-2	8.232674482190071E-2	2.0256827259000243E-2	3.433533210452684E-2	4.12848516543961E-2	9.56888883602511E-2	1.6436497084286295E-2	3.18306214766532E-2	8.58192034090793E-2	3.9743220595377174E-2	5.567997987682125E-2	4.279992651623576E-2	6.703634900146638E-2	6.36873960010209E-2	1.689897615786011E-2	4.700537905038459E-2	9.261196572055731E-2	-5.422212635881668E2	4.871674329216849E0	4.798839463878907E0	4.871674329216849E0	4.798839463878907E0	182	9.850493156118564E-1	118	-6.153240785619948E3	-1.6477122534559282E2
56	-5.960826898178986E3	59	768	1.8156608946968533E0	3.472996296363749E-2	59	768	-5.960826898178986E3	-5.581516235012757E2	183	122	7.563753592161934E-2	1.7210899607129678E-2	7.745654850931523E-2	7.422638100170935E-2	2.22681139319626E-2	8.475035309655926E-2	1.691519863882571E-2	3.5346126290325186E-2	4.2500232006238065E-2	7.747744210488752E-2	1.692036937179207E-2	3.27676797529792E-2	8.834562580020874E-2	3.745890588249727E-2	5.731913687560967E-2	5.767352338383246E-2	6.900982494168881E-2	5.0930474166136566E-2	1.739646331756805E-2	4.83891653991152E-2	2.2836269742839383E-2	-5.581516235012757E2	5.7500510821201685E0	5.306908555257687E0	5.7500510821201685E0	5.306908555257687E0	183	9.22932419115295E-1	122	-6.134305094977565E3	-1.73478196798579E2
57	-5.9372920498298545E3	57	771	2.1618980558224727E0	3.6931152112986615E-2	57	771	-5.9372920498298545E3	-5.41156675750042E2	182	119	7.32157358306439E-2	1.665983249836626E-2	7.497650637228832E-2	7.184976396795249E-2	2.15551224299369E-2	8.203677431138917E-2	1.6373599430136172E-2	3.592194615138058E-2	4.9233849903989046E-2	9.775312650890579E-2	1.8921137397961155E-2	3.171850795170512E-2	8.551693179275269E-2	3.645808250206892E-2	5.548386435901374E-2	5.5826903944476605E-2	6.680023418379885E-2	4.929975701669389E-2	1.683945473800782E-2	4.355886870853235E-2	2.9082163624826372E-2	-5.41156675750042E2	3.9753513320133016E0	4.537432776422266E0	3.9753513320133016E0	4.537432776422266E0	182	1.1413916399998538E0	119	-6.15667937883332E3	-2.1938732900346554E2
58	-5.966840494322812E3	58	769	2.1238815012463865E0	3.6931296868892814E-2	58	769	-5.966840494322812E3	-5.434648160422315E2	182	119	7.685889751405096E-2	1.7010618926859178E-2	7.655519816848678E-2	7.336261963999172E-2	2.200898320036581E-2	7.99685438279901E-2	1.6718358986766428E-2	3.6678312171038535E-2	4.621312062053829E-2	9.98113987109485E-2	1.9319537454594703E-2	3.238636713471874E-2	8.731756088564385E-2	3.722573731203504E-2	5.66521226004692E-2	5.700238516557654E-2	6.820676786738318E-2	5.033780380925021E-2	1.7194023259983843E-2	2.9171642743308183E-2	4.0180867009320435E-2	-5.434648160422315E2	4.585874699578642E0	4.918888190613555E0	4.585874699578642E0	4.918888190613555E0	182	1.072617224161295E0	119	-6.1611684413132725E3	-1.9432794699045985E2
59	-5.964987239696734E3	60	770	2.0065094358242246E0	3.451874065434205E-2	60	770	-5.964987239696734E3	-5.651415775346671E2	183	121	7.49668668925994E-2	1.659186959606664E-2	7.467064369462656E-2	7.155665666994791E-2	2.1467189452225036E-2	7.799996323980525E-2	1.6306804200443878E-2	4.5033687347449725E-2	4.139994718629926E-2	9.90987775701481E-2	1.8843949622363684E-2	3.1589113982274576E-2	8.516807000912045E-2	4.054616063145415E-2	5.525752087968963E-2	5.5599161053373654E-2	6.65277261744974E-2	5.520201710208895E-2	2.3720348437538043E-2	2.8453526257987874E-2	6.134451412545415E-2	-5.651415775346671E2	4.673416491391544E0	4.97313791729032E0	4.673416491391544E0	4.97313791729032E0	183	1.0641332580673826E0	121	-6.168664923262892E3	-2.0367768356615852E2
60	-5.981837139402818E3	56	772	1.8581705699303948E0	4.233728119505201E-2	56	772	-5.981837139402818E3	-5.330402036291536E2	181	118	7.353491363989276E-2	1.6274945831990836E-2	7.324434864519619E-2	7.018984234892071E-2	2.105714147987716E-2	7.962064823864218E-2	1.599532551280539E-2	4.417349220055983E-2	4.060916064962519E-2	9.720587710941356E-2	1.8484008543403537E-2	4.6976300193315286E-2	8.354126206140366E-2	3.97716823985015E-2	5.4202038770859655E-2	5.453715322487257E-2	6.525697020136557E-2	5.414759517915398E-2	2.3267262540949497E-2	2.7910031229251092E-2	3.5886256248019555E-2	-5.330402036291536E2	5.312275555797549E0	4.741248269364846E0	5.312275555797549E0	4.741248269364846E0	181	8.925079694313838E-1	118	-6.084160327300398E3	-1.0232318789758028E2
61	-5.97258728129927E3	57	769	2.020788730921673E0	4.2815249281598786E-2	57	769	-5.97258728129927E3	-5.354073232346785E2	182	122	7.24314098973169E-2	1.603071540120839E-2	7.214520527435721E-2	6.91365365124286E-2	2.2444012586039445E-2	7.842581874923904E-2	2.5960835088128083E-2	4.351060145175614E-2	3.99997581421418E-2	9.574715439008186E-2	1.8206627751126594E-2	4.6271349027811125E-2	8.228759777078216E-2	4.227296599397861E-2	5.338865435686835E-2	5.3718739906434526E-2	6.427768964901442E-2	5.3335027774447555E-2	2.2918101713493195E-2	2.7491198563346128E-2	2.19971674175699E-3	-5.354073232346785E2	5.1913647427767415E0	4.780552600472398E0	5.1913647427767415E0	4.780552600472398E0	182	9.208662533535239E-1	122	-6.089070380383E3	-1.164830990837296E2
62	-5.985645711178944E3	58	768	2.096598567504783E0	4.234601749130247E-2	58	768	-5.985645711178944E3	-5.46382737846193E2	182	120	7.306934692607546E-2	1.617190534858645E-2	7.278062156622764E-2	6.974545406275547E-2	2.264168741692919E-2	7.911655131763407E-2	2.6189484206289523E-2	3.981158455692396E-2	4.0352054568463386E-2	9.659044399703949E-2	1.8366981968002016E-2	4.667888226452844E-2	8.301234281854517E-2	4.264528361641949E-2	4.91336440384264E-2	5.4191865769553114E-2	6.484381308093834E-2	5.3804774106811115E-2	2.3119952067264006E-2	2.7733326302587638E-2	1.7644337433961352E-1	-5.46382737846193E2	4.515999385273409E0	4.6757247507324085E0	4.515999385273409E0	4.6757247507324085E0	182	1.035368774845245E0	120	-6.15792330149897E3	-1.7227759032002643E2
63	-5.967799404037937E3	56	770	2.0234855915365606E0	3.623252256022203E-2	56	770	-5.967799404037937E3	-5.305366571723788E2	181	118	7.455995340390204E-2	1.6501810402969778E-2	7.426533807911258E-2	7.116825349916044E-2	2.3103575299501123E-2	8.073052008646234E-2	2.6723746745248942E-2	4.062373641443446E-2	4.117523195356053E-2	9.856087821569749E-2	1.874166633910124E-2	4.763112622466133E-2	6.430589751167035E-2	4.3515242616760604E-2	5.0135964863286094E-2	5.5297373750120234E-2	6.616661959135112E-2	5.490238546089573E-2	2.3591596495034377E-2	2.8299083047069542E-2	2.779623432730291E-2	-5.305366571723788E2	4.543241016082738E0	4.697038685903692E0	4.543241016082738E0	4.697038685903692E0	181	1.0338519724743904E0	118	-6.161622486882502E3	-1.938230828445652E2
