iter	likelihood	#indels	#substs	rs07:mean_length	rs07:rate	P1/#indels	P1/#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/|indels|	f:pi[A]	f:pi[C]	f:pi[D]	f:pi[E]	f:pi[F]	f:pi[G]	f:pi[H]	f:pi[I]	f:pi[K]	f:pi[L]	f:pi[M]	f:pi[N]	f:pi[P]	f:pi[Q]	f:pi[R]	f:pi[S]	f:pi[T]	f:pi[V]	f:pi[W]	f:pi[Y]	sigma	prior_A	scale	scale*|T|	scale1	scale1*|T|	|A|	|T|	|indels|	posterior	prior
10	-7.187373890379934E3	68	981	2.2133345941014877E0	4.3909140125331474E-2	68	981	-7.187373890379934E3	-6.450769775797808E2	201	154	9.454093408075367E-2	2.737979114609143E-2	5.690968594193504E-2	5.244377594661789E-2	2.844269944828306E-2	6.0354143525700635E-2	1.7409106441489224E-2	5.40495616460718E-2	4.236061574948428E-2	1.1353832713870364E-1	1.863777806652099E-2	4.009763096697303E-2	8.577480154264473E-2	4.1298381229326366E-2	6.106334273920196E-2	6.0660984380744604E-2	5.159444069624777E-2	6.366827426528911E-2	1.8846823241149467E-2	1.092890180677126E-2	5.7334357975055976E-2	-6.450769775797808E2	5.916480262129038E0	6.319597447552328E0	5.916480262129038E0	6.319597447552328E0	201	1.0681346286243214E0	154	-7.453925940943305E3	-2.6655205056337115E2
11	-6.73426898943167E3	64	894	2.2447136095156006E0	3.678559218570412E-2	64	894	-6.73426898943167E3	-6.023599866434128E2	193	144	9.460152936040295E-2	2.73973400112192E-2	5.694616176447618E-2	5.2477389378728E-2	2.6894860817447817E-2	6.039282704665896E-2	1.698943667235931E-2	5.4084204294092046E-2	4.2387766458142E-2	1.1361109865033271E-1	1.86497238060566E-2	3.5278053381108225E-2	8.582977823752166E-2	4.132485110699349E-2	6.11024808159047E-2	6.0699864568973035E-2	5.1627509753505725E-2	6.99103143077469E-2	1.8858902966571073E-2	1.0935906601759589E-2	6.032899333289179E-2	-6.023599866434128E2	6.724547566784112E0	6.0342909047103825E0	6.724547566784112E0	6.0342909047103825E0	193	8.973526984204482E-1	144	-6.922138327568913E3	-1.8786933813724306E2
12	-6.499739645322196E3	62	854	2.295772628149226E0	2.851200292364645E-2	62	854	-6.499739645322196E3	-5.974081853291447E2	188	138	6.130901372819358E-2	2.874385460593784E-2	5.974493120332229E-2	5.50565292026034E-2	2.8216679745810585E-2	6.336099194884817E-2	2.0746313695152414E-2	5.6742315278440085E-2	3.316054590402528E-2	1.1919481598902501E-1	1.9566313711574565E-2	3.701188643685282E-2	9.00481092510785E-2	4.335586999851199E-2	6.410552352583347E-2	6.086603039765035E-2	5.416487999979998E-2	7.334624124438383E-2	1.9785773534095948E-2	1.1473380598860008E-2	1.0436068001237489E-2	-5.974081853291447E2	5.89347316005466E0	6.039144645228288E0	5.89347316005466E0	6.039144645228288E0	188	1.0247174257381833E0	138	-6.744660206934257E3	-2.4492056161206062E2
13	-6.4620056449920085E3	62	854	2.255280254674802E0	3.48905653977931E-2	62	854	-6.4620056449920085E3	-5.890822055292783E2	187	138	6.591653217614261E-2	1.1722192147241179E-2	6.423490512316313E-2	5.91941585421598E-2	3.03372304538202E-2	6.630496277370182E-2	2.2305448596606468E-2	2.6088477254711563E-2	3.5652639932388284E-2	1.2815259038748628E-1	2.103676880295994E-2	3.736975271915549E-2    9.6815439197319E-2	2.9803198117008992E-2	6.8923206347648E-2	6.544025759291898E-2	5.82354997774471E-2	7.88583860183881E-2	2.127272155399806E-2	1.2335632485735137E-2	1.4543210784953492E-1	-5.890822055292783E2	6.104039423553224E0	5.604974966021033E0	6.104039423553224E0	5.604974966021033E0	187	9.182402958266479E-1	138	-6.676203644040175E3	-2.1419799904816693E2
14	-6.27697842387665E3	60	825	2.36767210050251E0	3.505377571369286E-2	60	825	-6.27697842387665E3	-5.698680764774967E2	186	136	6.289702630453578E-2	1.1303678450543173E-2	6.1941546742540814E-2	5.708076833295413E-2	3.1175029614269666E-2	6.393769778339227E-2	2.1509084262067713E-2	4.084912705724402E-2	3.437974507213312E-2	1.2357719922593507E-1	2.0285699739450335E-2	4.2618123211536414E-2	9.335886837447618E-2	2.8739144016828762E-2	6.646246304003872E-2	6.310386489656414E-2	5.61563362571109E-2	7.604293015197311E-2	2.0513228344488918E-2	2.4068439121917005E-2	7.32305108106531E-2	-5.698680764774967E2	5.821724821190618E0	5.514406422403577E0	5.821724821190618E0	5.514406422403577E0	186	9.472117957777003E-1	136	-6.4799012462600585E3	-2.029228223834084E2
15	-5.975913161612279E3	58	769	2.3701299359402563E0	3.509626801000523E-2	58	769	-5.975913161612279E3	-5.594324201513188E2	186	122	6.41783394935046E-2	1.716432325724083E-2	6.320339528212149E-2	5.8243595029201504E-2	3.181011491095525E-2	6.5240211117576E-2	2.194725876676034E-2	4.168128921707153E-2	3.5080115556757024E-2	1.2609466474898476E-1	2.0698951941514214E-2	4.348632265701802E-2	9.526073808730225E-2	2.9324606421524062E-2	4.450576681215139E-2	6.438939171901494E-2	5.4609001064785896E-2	7.759204646249304E-2	2.0931115668745885E-2	2.4558751785277076E-2	3.9019817227832446E-2	-5.594324201513188E2	5.013127653886161E0	5.011213724353332E0	5.013127653886161E0	5.011213724353332E0	186	9.996182164778218E-1	122	-6.14355006418284E3	-1.6763690257056123E2
16	-5.962127310434265E3	58	772	2.758190385883773E0	3.735736399483876E-2	58	772	-5.962127310434265E3	-5.578851396090892E2	186	123	6.171979234284908E-2	1.0953770111440742E-2	6.078219634477067E-2	5.601239637661764E-2	3.0591531382718768E-2	7.63650615267634E-2	2.1106502042115272E-2	4.0084560232666266E-2	4.659330206099089E-2	1.2126422380616705E-1	1.990601541933268E-2	4.182044635818173E-2	9.161148480274847E-2	4.558119781560208E-2	4.280083759386228E-2	6.192275956878226E-2	5.251703662588729E-2	7.461964633108735E-2	2.0129285406486695E-2	2.361795385092946E-2	9.80097758062256E-2	-5.578851396090892E2	4.936519144493625E0	5.067916352589576E0	4.936519144493625E0	5.067916352589576E0	186	1.0266173804354666E0	123	-6.155536583227426E3	-1.9340927279316065E2
17	-5.965509270107542E3	58	770	2.570780908627985E0	4.5113540037688166E-2	58	770	-5.965509270107542E3	-5.629390853006499E2	188	122	5.680028313477235E-2	1.0080676232137828E-2	6.88174179064888E-2	4.996251157465781E-2	2.8153167373156613E-2	9.982662280742298E-2	1.942416275993351E-2	3.688953387757265E-2	4.287948239597217E-2	1.1159859722222029E-1	1.831936351344903E-2	3.8487057454309456E-2	8.430939375634335E-2	4.194805010305956E-2	3.938930449137287E-2	5.698707242006423E-2	5.847953574877745E-2	6.867192642966508E-2	1.8524837284575782E-2	5.045100351404812E-2	2.5946139266865915E-2	-5.629390853006499E2	4.9845203188440745E0	4.5448584193951E0	4.9845203188440745E0	4.5448584193951E0	188	9.117945416358673E-1	122	-6.117892022556487E3	-1.5238275244894555E2
18	-5.995857545410766E3	57	770	2.3779907705743093E0	3.604255800820841E-2	57	770	-5.995857545410766E3	-5.317883079138207E2	188	122	6.765944193752982E-2	9.70516730081694E-3	6.625394354631205E-2	4.810138947377187E-2	2.7104451438813966E-2	1.1411206483838993E-1	1.8700605487403314E-2	3.5515385048238084E-2	4.12822057610207E-2	1.0744150805331847E-1	2.390832038008135E-2	3.7053400278783996E-2	8.116883754555802E-2	4.038546966674151E-2	3.792203827882716E-2	5.486428282036034E-2	5.630115133611706E-2	6.61138716810025E-2	1.78347802198079E-2	4.857168490710493E-2	5.20710101582979E-2	-5.317883079138207E2	4.537680309534942E0	4.345616605175548E0	4.537680309534942E0	4.345616605175548E0	188	9.576735928364513E-1	122	-6.160031994554618E3	-1.641744491438517E2
19	-5.963226409245405E3	58	767	1.8696254778080998E0	3.673684430050932E-2	58	767	-5.963226409245405E3	-5.487514373366399E2	188	124	6.749124773006947E-2	9.68104128269314E-3	6.608924325900871E-2	4.7981814513520904E-2	2.4707837179671576E-2	1.1382839432977297E-1	1.8654117762572732E-2	3.542709756211969E-2	4.716410329031204E-2	9.481772935946686E-2	2.3848886827529305E-2	4.1002488475925684E-2	8.096706041127337E-2	4.02850756660079E-2	3.558351552097472E-2	5.47278960234463E-2	5.6161192636238526E-2	6.594951959752257E-2	2.7180797729662084E-2	4.84509408422114E-2	4.401506397339575E-2	-5.487514373366399E2	4.270310498736559E0	4.702921504725326E0	4.270310498736559E0	4.702921504725326E0	188	1.1013066862741625E0	124	-6.171732796523198E3	-2.0850638727779233E2
