state	Tree Length	Tree Height	Treeness	CCD1 information content (log(p))	CCD0 information content (log(p))	CCD1 expected RF distance	CCD0 expected RF distance	CCD1 RF distance	CCD0 RF distance
0	2.606392	0.7628220000000001	0.25918127434399735	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
1	2.606392	0.7628220000000001	0.25918127434399735	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
2	2.606392	0.7628220000000001	0.25918127434399735	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
3	2.606392	0.7628220000000001	0.25918127434399735	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
4	2.606392	0.7628220000000001	0.25918127434399735	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
5	2.606392	0.7628220000000001	0.25918127434399735	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
6	2.606392	0.7628220000000001	0.25918127434399735	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
7	2.606392	0.7628220000000001	0.25918127434399735	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
8	2.606392	0.7628220000000001	0.25918127434399735	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
9	2.606392	0.7628220000000001	0.25918127434399735	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
10	2.606392	0.7628220000000001	0.25918127434399735	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
11	2.606392	0.7628220000000001	0.25918127434399735	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
12	2.618746	0.762822	0.2626761052809245	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
13	2.618746	0.762822	0.2626761052809245	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
14	2.5944860000000003	0.7628220000000001	0.2557816846959282	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
15	2.5944860000000003	0.7628220000000001	0.2557816846959282	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
16	2.483975	0.73033	0.2557815597983071	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
17	2.322793	0.6497390000000001	0.23883488541596262	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
