iter	likelihood	#indels	#substs	P1/#indels	P1/#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/|indels|	f:pi[A]	f:pi[C]	f:pi[D]	f:pi[E]	f:pi[F]	f:pi[G]	f:pi[H]	f:pi[I]	f:pi[K]	f:pi[L]	f:pi[M]	f:pi[N]	f:pi[P]	f:pi[Q]	f:pi[R]	f:pi[S]	f:pi[T]	f:pi[V]	f:pi[W]	f:pi[Y]	sigma	prior_A	scale	scale*|T|	scale1	scale1*|T|	|A|	|T|	|indels|	posterior	prior
31	-4.0520262357146967E3	94	382	94	382	-4.0520262357146967E3	-6.837276397871044E2	640	127	9.035056732532425E-2	1.2816143906112031E-2	6.361773879165439E-2	6.005818848171555E-2	2.880444323257142E-2	4.1110145792869486E-2	3.5240150281108114E-2	4.3588056893514755E-2	5.724425031732004E-2	1.1071079478216735E-1	1.8843045646757626E-2	4.239565467665353E-2	3.923572502901839E-2	7.030949371100606E-2	4.981959099513152E-2	5.395342696235285E-2	6.78611844853271E-2	6.1045751444321915E-2	1.82803736147463E-2	3.471527363032736E-2	4.932307507161876E-1	-6.837276397871044E2	5.918604359928622E-1	6.904005279735248E-1	5.918604359928622E-1	6.904005279735248E-1	640	1.1664921085920517E0	127	-4.78985350457159E3	-7.378272688568934E2
32	-4.0486429257540694E3	100	379	100	379	-4.0486429257540694E3	-7.086542267887315E2	644	135	9.401034883856496E-2	1.333528050842836E-2	6.619466809311118E-2	5.816725259513442E-2	2.9971209219354648E-2	4.277537221073619E-2	3.6667603968900016E-2	4.5353654714750107E-2	5.956301217186715E-2	1.1519529700561268E-1	1.960631069481035E-2	4.411295250687828E-2	4.0825025299848564E-2	3.697470413459175E-2	5.1837606194357524E-2	5.613888921697067E-2	7.061000074402043E-2	6.351849864682008E-2	1.9020846811439004E-2	3.612146642380364E-2	4.873308542086748E-1	-7.086542267887315E2	1.502769840311687E0	7.371645385532867E-1	1.502769840311687E0	7.371645385532867E-1	644	4.9053721919278914E-1	135	-4.8005178316625E3	-7.518749059084306E2
33	-4.0710006584394564E3	91	386	91	386	-4.0710006584394564E3	-6.613067161274587E2	638	123	8.173935005889539E-2	1.2759204649199583E-2	6.33350994268202E-2	6.065983727208388E-2	2.8676471542689153E-2	4.6755996189206735E-2	3.5083586186229906E-2	4.3394404919258237E-2	7.621912637730598E-2	1.1021893151711169E-1	1.8759330215271087E-2	4.687985563255753E-2	4.3737649788451564E-2	3.537741981495541E-2	4.765778874820364E-2	5.371372397043721E-2	6.75596924416906E-2	6.077453884321776E-2	1.8199158009074987E-2	4.849883439733954E-2	8.732892600714145E-1	-6.613067161274587E2	6.5259535676935E-1	7.145200638155238E-1	6.5259535676935E-1	7.145200638155238E-1	638	1.0948898983172817E0	123	-4.786168479333306E3	-7.151678208938498E2
34	-4.059269548044806E3	93	384	93	384	-4.059269548044806E3	-6.744622690382283E2	638	123	8.153270793641808E-2	1.2726948592258425E-2	6.317498438598075E-2	6.0506485459107626E-2	2.8603975652515427E-2	4.6637794144731E-2	3.499489271474506E-2	4.328470118501403E-2	7.602643972104281E-2	8.679286658658891E-2	1.8711905470528888E-2	4.676134046376353E-2	4.362707830999054E-2	5.8144982065993694E-2	4.753730691647377E-2	5.357793236065056E-2	7.020738521206621E-2	6.0620897057589496E-2	1.8153149414247827E-2	4.837622635029341E-2	7.641743223272044E-1	-6.744622690382283E2	1.2428038442045795E0	6.552166693203928E-1	1.2428038442045795E0	6.552166693203928E-1	638	5.272084346824218E-1	123	-4.77441082649183E3	-7.151412784470248E2
35	-4.0602372338835066E3	93	383	93	383	-4.0602372338835066E3	-6.731430609171229E2	641	129	7.993539564527252E-2	1.2477614160351107E-2	6.1937319384944005E-2	5.9321099184519256E-2	2.8043593407870476E-2	4.572411025387595E-2	3.43093056212295E-2	5.189851980986523E-2	7.453700106884989E-2	8.509250220410541E-2	1.8345319380660047E-2	4.584523616938073E-2	4.277237753805419E-2	5.700586014948778E-2	4.66060006156349E-2	6.265753337734134E-2	6.883194801432371E-2	5.943326933834499E-2	1.779750994861163E-2	4.7428484727277245E-2	5.78187407621919E-1	-6.731430609171229E2	1.1715492811706416E0	6.318884077205443E-1	1.1715492811706416E0	6.318884077205443E-1	641	5.393613549821357E-1	129	-4.770884989790637E3	-7.106477559071301E2
36	-4.0542765925883627E3	96	383	96	383	-4.0542765925883627E3	-6.903086714601726E2	642	132	8.070775477215111E-2	1.259817651074196E-2	6.253577584512898E-2	5.989427696141994E-2	2.7390977544653188E-2	4.5908916209396265E-2	3.464081214746248E-2	5.037814778136201E-2	6.157268828867567E-2	8.591469079998015E-2	1.8522577211746966E-2	4.628820622405413E-2	4.380481912007583E-2	5.7556667410984405E-2	5.413106188417256E-2	6.27936706862825E-2	6.949702238895515E-2	6.0007530936015824E-2	1.7969474685053586E-2	4.7886752591687336E-2	6.262585746327153E-1	-6.903086714601726E2	8.772870879666973E-1	6.863655801640608E-1	8.772870879666973E-1	6.863655801640608E-1	642	7.823728282093625E-1	132	-4.780843960662543E3	-7.265673680741804E2
37	-4.0594479641935077E3	92	379	92	379	-4.0594479641935077E3	-6.675472085829623E2	644	135	1.070763086774397E-1	1.2361963368600902E-2	6.136324328884899E-2	5.368687427442883E-2	2.687740251523358E-2	4.504813375085033E-2	2.9943682979028587E-2	4.9433568177120434E-2	6.0418213420162854E-2	8.430380853835785E-2	1.8175282810846446E-2	4.542031215804114E-2	4.298348803645027E-2	5.647749208360873E-2	5.3116115935114776E-2	6.1616302656335435E-2	6.81939679338961E-2	5.88824024364717E-2	1.7632550839419142E-2	4.698888611974442E-2	7.439772960469585E-1	-6.675472085829623E2	5.799157375883127E-1	7.21239594899839E-1	5.799157375883127E-1	7.21239594899839E-1	644	1.2436972272889986E0	135	-4.771325237396242E3	-7.118772732027343E2
38	-4.058143498118088E3	94	382	94	382	-4.058143498118088E3	-6.774033231909812E2	642	131	1.0215988074233259E-1	1.179436160132999E-2	5.854573895740173E-2	5.122183180432922E-2	5.270529991701101E-2	6.183294195798711E-2	2.856881339960028E-2	4.716381702002603E-2	5.764410030478669E-2	8.043298403522264E-2	1.734076143778622E-2	4.3334830371516614E-2	4.100989346692369E-2	5.3884317895832985E-2	5.067727993662647E-2	5.878717905860118E-2	6.50628296541298E-2	5.617880635811826E-2	1.6822949102257453E-2	4.4831382978180186E-2	9.001133615898301E-1	-6.774033231909812E2	8.751004637980258E-1	7.109042713565576E-1	8.751004637980258E-1	7.109042713565576E-1	642	8.123687516644206E-1	131	-4.781577043687249E3	-7.234335455691609E2
39	-4.032525066351111E3	99	375	99	375	-4.032525066351111E3	-7.083246494433755E2	648	143	1.0158445425946608E-1	1.1727928594903262E-2	5.821597380487528E-2	6.0654589995342074E-2	5.240843166364877E-2	6.148466128207369E-2	2.9933200082850286E-2	4.689816176329326E-2	5.731941372865365E-2	7.997993662783008E-2	1.724308773954121E-2	4.309074229266311E-2	4.077890084448787E-2	5.358080869727915E-2	4.4777867713774705E-2	5.845605396881515E-2	6.469635628942758E-2	5.5862373207263026E-2	1.6728192037517232E-2	4.457886540629459E-2	8.82775647145289E-1	-7.083246494433755E2	1.2164355524372956E0	7.08358248457143E-1	1.2164355524372956E0	7.08358248457143E-1	648	5.823228752545501E-1	143	-4.784224206316735E3	-7.516991399656242E2
40	-4.051892903232649E3	95	382	95	382	-4.051892903232649E3	-6.827644778770879E2	641	129	1.0306427894063207E-1	1.5068115185830724E-2	6.653796011714973E-2	6.153817164132751E-2	3.503321550277025E-2	6.238033493550442E-2	3.0369249954770073E-2	4.7581347569473534E-2	5.815441041947578E-2	8.238496570032718E-2	1.7494275256395995E-2	4.5681228222807575E-2	3.1098223655727508E-2	5.4361343511637114E-2	4.543016627949402E-2	5.930760858962036E-2	6.56388160931104E-2	5.667614455863011E-2	1.6971878845984733E-2	4.522826501933099E-2	6.948715401618024E-1	-6.827644778770879E2	1.5107697399811724E0	7.475394987971675E-1	1.5107697399811724E0	7.475394987971675E-1	641	4.9480703711108454E-1	129	-4.777115560775963E3	-7.252226575433136E2
41	-4.0521643082573837E3	95	382	95	382	-4.0521643082573837E3	-6.843268864161832E2	641	129	1.0325061703467212E-1	1.5095358027806274E-2	6.1208235471083776E-2	6.071266550980647E-2	3.509655483500039E-2	6.249311729654105E-2	3.042415693332913E-2	4.7667373666090966E-2	5.8259552396007046E-2	8.253391602185416E-2	2.4678983720338967E-2	4.576381894277322E-2	3.1154448603726972E-2	5.445962770130529E-2	4.551230308463598E-2	5.941483552469676E-2	6.575748972098182E-2	5.6778613860925205E-2	1.4428294857272286E-2	4.53100367911521E-2	5.283225488844145E-1	-6.843268864161832E2	1.1775922212191199E0	7.446732570302902E-1	1.1775922212191199E0	7.446732570302902E-1	641	6.323693750790542E-1	129	-4.787037518153862E3	-7.348732098964786E2
42	-4.0496465224871313E3	96	379	96	379	-4.0496465224871313E3	-6.883034674422182E2	644	135	1.0231301855848052E-1	1.4958280060711074E-2	6.065241556456647E-2	6.016134577630396E-2	3.477784994704973E-2	6.1925629631745555E-2	2.325787496467483E-2	4.723451565325822E-2	5.7730508898555036E-2	8.178444181900044E-2	2.4454878739713262E-2	4.53482467347055E-2	4.873084003544903E-2	5.396509057006898E-2	4.509901484243792E-2	5.698681114637172E-2	6.516035893444255E-2	5.626301847403858E-2	1.429727435917997E-2	4.4898585289246756E-2	4.397925721909171E-1	-6.883034674422182E2	9.830458714903904E-1	6.725820611903865E-1	9.830458714903904E-1	6.725820611903865E-1	644	6.841817667884497E-1	135	-4.7946147193106535E3	-7.449681968235222E2
43	-4.072258940770354E3	92	386	92	386	-4.072258940770354E3	-6.666599599463536E2	639	125	9.762737255435466E-2	1.3458228938424507E-2	5.787470699301993E-2	5.740612680797251E-2	3.318512307873493E-2	5.908961146782915E-2	2.2192730270205695E-2	4.507130883318963E-2	5.5086615363324716E-2	1.2438791868545755E-1	2.333491466805777E-2	4.327142568006002E-2	4.649910580351172E-2	4.964807785451613E-2	4.514236775499121E-2	5.437697685843849E-2	6.217619934487808E-2	5.3686331837212865E-2	1.3642499752635729E-2	4.2842357453184876E-2	6.405819935666947E-1	-6.666599599463536E2	3.837237583773272E-1	7.265769586712542E-1	3.837237583773272E-1	7.265769586712542E-1	639	1.8934896336462674E0	125	-4.810161511425152E3	-7.379025706547974E2
44	-4.0563540513372673E3	95	381	95	381	-4.0563540513372673E3	-6.830587442059668E2	645	137	8.038214294290492E-2	1.3353313936868576E-2	5.742353878938759E-2	5.69586114691464E-2	4.1479747676624934E-2	5.862897235198035E-2	3.0630480215130387E-2	4.46869915042754E-2	5.465718201343917E-2	1.2341823993039014E-1	2.3153004951711884E-2	4.293409885100087E-2	4.6136617263597204E-2	4.9261041180583214E-2	5.538780234676669E-2	5.395307556817126E-2	6.1691498417225904E-2	4.981911687229664E-2	1.3536148249081791E-2	4.250837546941675E-2	5.932711202764084E-1	-6.830587442059668E2	4.1063953301639994E-1	7.206572150620002E-1	4.1063953301639994E-1	7.206572150620002E-1	645	1.7549630688704756E0	137	-4.807048687084605E3	-7.506946357473375E2
45	-4.044555640565468E3	98	378	98	378	-4.044555640565468E3	-7.025572142275869E2	646	139	8.526597777989443E-2	1.416463069711542E-2	6.0912461439807976E-2	6.0419286200811065E-2	4.3999962108784665E-2	6.219113438382465E-2	3.249151801371991E-2	4.7402070723099564E-2	4.551348476771825E-2	1.0056305250626672E-1	2.4559728485376298E-2	4.554267632836679E-2	4.893977242223554E-2	5.225402917786754E-2	4.3385905254742146E-2	5.4658904351583784E-2	6.543973251606222E-2	5.284601226996967E-2	1.4358573603236342E-2	4.5091086969517316E-2	6.619353073704517E-1	-7.025572142275869E2	8.285800425661023E-1	6.661920667349077E-1	8.285800425661023E-1	6.661920667349077E-1	646	8.040165494111094E-1	139	-4.801335583852837E3	-7.56779943287369E2
46	-4.048342539030244E3	96	381	96	381	-4.048342539030244E3	-6.895684968752447E2	643	134	8.678538068896544E-2	1.484984097330698E-2	6.199789520272371E-2	6.1495931793904265E-2	4.478402243586703E-2	6.3299353546515E-2	3.3070502835985324E-2	4.8246755156773534E-2	4.632451541509489E-2	1.0235504268220194E-1	2.4997372242925208E-2	3.684744504081644E-2	4.98118580362605E-2	4.443958462544408E-2	4.415902335381446E-2	5.5632902427261904E-2	6.66058402948342E-2	5.3787705391498936E-2	1.4614437185299336E-2	4.589459067050711E-2	6.336689701431728E-1	-6.895684968752447E2	8.881587608906754E-1	7.249519256619787E-1	8.881587608906754E-1	7.249519256619787E-1	643	8.162413721337081E-1	134	-4.787398362977105E3	-7.390558239468608E2
47	-4.075684543525016E3	90	387	90	387	-4.075684543525016E3	-6.592519674224887E2	639	125	8.67645571201585E-2	8.329402026984473E-3	6.30386633419692E-2	6.14811762583879E-2	4.3123166321066796E-2	6.254905993657553E-2	3.306256779109852E-2	5.304521701098724E-2	4.631340015897069E-2	1.023304832776443E-1	2.826772678595057E-2	3.6838603744032625E-2	4.979990601571297E-2	4.442892164579414E-2	4.414842769295597E-2	5.561955368623632E-2	6.658985867111702E-2	5.377479939310041E-2	1.4610930549321171E-2	4.588357857193582E-2	5.248478391437804E-1	-6.592519674224887E2	8.552862798733513E-1	6.631598409362379E-1	8.552862798733513E-1	6.631598409362379E-1	639	7.75365928978116E-1	125	-4.787444922489607E3	-7.117603789645912E2
48	-4.057914173278863E3	93	382	93	382	-4.057914173278863E3	-6.746114615236462E2	641	131	8.644159399364162E-2	8.298397549926801E-3	6.280401495004376E-2	6.125232529014235E-2	4.296264924955023E-2	6.231623399210799E-2	3.293949921772124E-2	5.284776715702314E-2	4.614100810152891E-2	1.0194957920904445E-1	2.8162506016948398E-2	3.670147965746335E-2	4.9614536161005966E-2	4.798583743396555E-2	4.398409429794105E-2	5.541252139620683E-2	6.634199168873897E-2	5.357463381954988E-2	1.4556544380957574E-2	4.571278643649215E-2	5.252119096288803E-1	-6.746114615236462E2	7.541751400168093E-1	6.547679170941253E-1	7.541751400168093E-1	6.547679170941253E-1	641	8.681907985982297E-1	131	-4.785167100494761E3	-7.272529272158985E2
49	-4.04722327067676E3	93	381	93	381	-4.04722327067676E3	-6.822908580542605E2	642	131	8.800700044926127E-2	8.448676651639215E-3	6.394135874369088E-2	6.236156889615402E-2	4.374067757339992E-2	6.269465304848078E-2	3.3536014186245446E-2	5.380480915556349E-2	4.6976594635903146E-2	1.0136221671918332E-1	2.867251244659153E-2	3.736612188040538E-2	5.051302624674786E-2	3.957084154209396E-2	4.478062039119709E-2	5.077428935452722E-2	6.754340616145053E-2	5.454483894608598E-2	1.4820154843151747E-2	4.65406181282274E-2	3.889671250231895E-1	-6.822908580542605E2	9.28835338573199E-1	6.436923714508987E-1	9.28835338573199E-1	6.436923714508987E-1	642	6.930102082891101E-1	131	-4.7710709244146665E3	-7.238476537379063E2
50	-4.0461488359249447E3	98	380	98	380	-4.0461488359249447E3	-7.0048948772598E2	643	134	8.744321584158764E-2	8.394553299779815E-3	6.353174185333663E-2	6.196207235071386E-2	3.217496166783599E-2	6.229302272144162E-2	1.7584428212646722E-2	5.346012835669667E-2	5.203317219994503E-2	1.0071287681105974E-1	2.8488832499562328E-2	3.712674950937707E-2	5.4874100223163004E-2	3.931734544223555E-2	4.449374975170531E-2	5.044902247055754E-2	7.195880607649542E-2	7.273353305346306E-2	1.4725214950401671E-2	4.62424727079953E-2	3.798136532422648E-1	-7.0048948772598E2	5.45968170919271E-1	6.505454067165571E-1	5.45968170919271E-1	6.505454067165571E-1	643	1.1915445649903085E0	134	-4.801108118859728E3	-7.549592829347838E2
51	-4.051948689752572E3	96	382	96	382	-4.051948689752572E3	-6.932529619047021E2	642	131	8.784061733976466E-2	8.432703864414845E-3	6.382047333640617E-2	6.224367018703927E-2	3.2631989590210644E-2	6.257612462154011E-2	1.76643438247275E-2	5.370308757196815E-2	4.6773578065104716E-2	1.0117058468176453E-1	2.8618305147699495E-2	3.729547873251312E-2	5.512348548913157E-2	3.9496030224499205E-2	4.9546797008770384E-2	5.0678297170926354E-2	7.228583587596704E-2	7.306408373969946E-2	1.479213635106092E-2	4.224237717679197E-2	3.507566614800424E-1	-6.932529619047021E2	9.434923821027676E-1	6.16905768423811E-1	9.434923821027676E-1	6.16905768423811E-1	642	6.538534704953409E-1	131	-4.788481871446866E3	-7.365331816942937E2
52	-4.0796473007785617E3	95	384	95	384	-4.0796473007785617E3	-6.855006622033064E2	641	130	8.81144975210442E-2	8.458996376159489E-3	6.401946058554073E-2	6.2437741087160464E-2	3.2733733583993264E-2	5.9087215779146024E-2	1.7719419868537478E-2	5.387052960282946E-2	4.691941442677341E-2	1.0148602665965527E-1	2.870753478700688E-2	3.741176312105127E-2	5.529535620971323E-2	3.961917576064529E-2	4.9701280050414944E-2	5.08363081416647E-2	7.307731191032103E-2	7.329189184380522E-2	1.4838257076393144E-2	4.23740856081445E-2	2.8176674783530176E-1	-6.855006622033064E2	1.10085430962297E0	6.240039628763231E-1	1.10085430962297E0	6.240039628763231E-1	641	5.668360994017795E-1	130	-4.807287824420787E3	-7.276405236422252E2
53	-4.047715968729507E3	94	380	94	380	-4.047715968729507E3	-6.805178763196255E2	644	135	7.8832690326898E-2	8.433538464341006E-3	5.041009143804326E-2	6.224983055545459E-2	3.263521923713533E-2	5.8909388876046194E-2	1.7666092096727662E-2	5.3708402663502595E-2	4.677820733057249E-2	1.0118059771718743E-1	2.862113755302846E-2	5.607795164724763E-2	5.738531971822134E-2	4.390766449370072E-2	4.955170074472388E-2	5.0683312893493745E-2	7.285738088306726E-2	7.307131502397964E-2	1.479360035550183E-2	4.224655798112703E-2	5.999243437060885E-1	-6.805178763196255E2	8.622834909810698E-1	7.894110336082253E-1	8.622834909810698E-1	7.894110336082253E-1	644	9.154889799757927E-1	135	-4.78207214670014E3	-7.343561779706332E2
54	-4.051511900152343E3	94	382	94	382	-4.051511900152343E3	-6.766310163310125E2	641	129	7.923196089904772E-2	8.377716336875177E-3	5.0076423836749116E-2	6.1837794967938675E-2	3.24192046454152E-2	5.851946388445731E-2	2.6484917768157933E-2	5.3352903330435596E-2	4.646857940117236E-2	1.0051087690584362E-1	2.519392820121693E-2	5.570676811875466E-2	5.70054826373184E-2	4.361703686990345E-2	4.922371488602219E-2	5.0347836822009176E-2	7.237513324529606E-2	7.25876513425236E-2	1.46956805738805E-2	4.196692532698234E-2	6.161458361441746E-1	-6.766310163310125E2	1.5137416866825095E0	8.042609857692231E-1	1.5137416866825095E0	8.042609857692231E-1	641	5.313066244028912E-1	129	-4.77533424365747E3	-7.238223435051273E2
55	-4.07345446813249E3	91	383	91	383	-4.07345446813249E3	-6.623104020090975E2	640	127	8.09685445235155E-2	1.7269260035975002E-2	5.117398467734989E-2	8.012630067018284E-2	3.31297595687905E-2	5.9649722447853895E-2	2.7065406676543786E-2	4.620336819434948E-2	4.748706453172688E-2	9.352322894049558E-2	2.5746121566795697E-2	5.6927733246833624E-2	3.755459943341216E-2	4.4573022700830835E-2	5.030258629393107E-2	5.145134641536481E-2	6.476482238946943E-2	7.417860687649824E-2	1.5017776328490518E-2	4.288674448159038E-2	5.2611605577483E-1	-6.623104020090975E2	5.899194598832316E-1	6.957963829148113E-1	5.899194598832316E-1	6.957963829148113E-1	640	1.1794769120729411E0	127	-4.796361536009172E3	-7.229070678766813E2
56	-4.0388570643592566E3	99	380	99	380	-4.0388570643592566E3	-7.076165139299196E2	643	135	7.473045695937622E-2	1.7346323576441752E-2	5.14023470061823E-2	7.49225069919585E-2	3.327760009941339E-2	5.991590749516423E-2	2.7186185219360434E-2	4.6409549300379965E-2	4.769897409308413E-2	1.016388663202106E-1	2.5861012840486135E-2	5.718177150125846E-2	3.7722185675504775E-2	4.477192844036311E-2	5.0527060034344325E-2	5.1680946462401525E-2	6.505383341256107E-2	7.450962662261855E-2	1.5084792692330097E-2	4.307812525656043E-2	5.269284520042783E-1	-7.076165139299196E2	7.632656436038571E-1	7.067132047348852E-1	7.632656436038571E-1	7.067132047348852E-1	643	9.259072652583283E-1	135	-4.797234642884273E3	-7.583775785250166E2
57	-4.031012712928557E3	98	377	98	377	-4.031012712928557E3	-7.025393913552292E2	644	135	7.858046848234841E-2	1.7326299696992644E-2	5.134301025996532E-2	6.077361923555164E-2	3.323918581238538E-2	5.9846743046370235E-2	2.715480261006489E-2	4.6355976033607735E-2	4.764391236759072E-2	1.0152153861111013E-1	2.5831159955448702E-2	5.711576322612271E-2	4.443157968869618E-2	4.4720245575469976E-2	5.046873368325403E-2	5.16212881124798E-2	6.497873795430936E-2	7.442361578725541E-2	1.959492221287635E-2	4.302839764810037E-2	3.8844006600369896E-1	-7.025393913552292E2	6.505829801202706E-1	7.528373898115707E-1	6.505829801202706E-1	7.528373898115707E-1	644	1.1571735087081385E0	135	-4.792211600405791E3	-7.611988874772335E2
58	-4.0613388666763212E3	94	382	94	382	-4.0613388666763212E3	-6.788428569520835E2	643	133	7.799404464136875E-2	1.7196998416222634E-2	5.0959851876392306E-2	7.037977892246032E-2	3.530339749237658E-2	5.9400123706918745E-2	2.2042909158199293E-2	4.60100344778623E-2	4.728835930676649E-2	1.0076391204353799E-1	2.5638389304794756E-2	5.668952441769576E-2	4.409999935932092E-2	4.438651101411633E-2	5.00920997788308E-2	5.123605301989394E-2	6.449381998640825E-2	7.386821336382292E-2	1.9448690843049968E-2	4.2707288869960836E-2	5.715136951605196E-1	-6.788428569520835E2	7.930563723771907E-1	7.291208000785697E-1	7.930563723771907E-1	7.291208000785697E-1	643	9.193807974747448E-1	133	-4.7982643043128455E3	-7.369254376365242E2
59	-4.064327221505104E3	95	382	95	382	-4.064327221505104E3	-6.837053728566381E2	644	136	6.801837801896012E-2	1.77649332199787E-2	4.791840327606116E-2	7.270408720948188E-2	3.646930026456275E-2	5.1169671891811416E-2	1.7213654293621622E-2	4.752952638392331E-2	4.885006818251423E-2	1.0409166327238936E-1	2.6485102972262694E-2	5.856170892024342E-2	4.555641191897736E-2	4.585238568666606E-2	5.1746402824575245E-2	5.2928135382920655E-2	6.662374313409587E-2	7.630772799569138E-2	2.0090988303916174E-2	4.411770684734659E-2	4.9154279998565703E-1	-6.837053728566381E2	7.186080584799786E-1	6.99833860673519E-1	7.186080584799786E-1	6.99833860673519E-1	644	9.738742175447194E-1	136	-4.79366758015292E3	-7.293403586478165E2
60	-4.0548297929676755E3	95	381	95	381	-4.0548297929676755E3	-6.879249985843313E2	643	132	6.664167081607486E-2	1.7405366993393543E-2	5.084628706759302E-2	7.123254020328025E-2	3.573115346040913E-2	5.0133986273975965E-2	1.6865246075957276E-2	4.656751812632811E-2	6.761610650734438E-2	1.0198482469785795E-1	2.594903855712907E-2	5.737640681760735E-2	4.463433994000455E-2	4.492432313235596E-2	5.069904404350969E-2	5.884207850378711E-2	6.52752636535896E-2	6.436570834705632E-2	1.968434220154404E-2	4.322475458120182E-2	5.382318943133239E-1	-6.879249985843313E2	1.10443808230365E0	6.536701554120122E-1	1.10443808230365E0	6.536701554120122E-1	643	5.918576748536046E-1	132	-4.78123568430712E3	-7.264058913394446E2
61	-4.0559906052598276E3	95	381	95	381	-4.0559906052598276E3	-6.829104217369002E2	643	131	6.892876014013784E-2	1.8002705393594436E-2	5.2591291340392296E-2	5.5221878775915625E-2	3.69574183276466E-2	5.1854544948088215E-2	1.7444047954356653E-2	4.816567844029707E-2	6.993663769202096E-2	8.962096137367401E-2	2.6839588993919635E-2	5.934551962463486E-2	4.616615511080244E-2	4.6466090296482694E-2	5.243899505242317E-2	6.0861492001433475E-2	6.75154589668126E-2	6.657468844304748E-2	2.035989322463595E-2	4.470819389968396E-2	5.713556951353126E-1	-6.829104217369002E2	6.524022944579065E-1	6.890369039035428E-1	6.524022944579065E-1	6.890369039035428E-1	643	1.056153403746191E0	131	-4.785232658924562E3	-7.292420536647348E2
62	-4.0497269388608324E3	96	381	96	381	-4.0497269388608324E3	-6.86655788547191E2	644	136	6.956601229621778E-2	1.569845710570302E-2	5.307750223015089E-2	5.5732409666667065E-2	3.729909275301795E-2	5.2333944555792336E-2	1.7605319637570966E-2	4.861097416841883E-2	7.05832077604164E-2	9.044951466186922E-2	2.430023396014625E-2	5.989417392013641E-2	4.659296507840475E-2	4.689567318997792E-2	5.292379795025396E-2	6.142416158842886E-2	6.813964503526727E-2	6.277403085008591E-2	2.0548122141398395E-2	4.555076145007595E-2	7.18903142144859E-1	-6.86655788547191E2	7.791657836911443E-1	6.955045459040466E-1	7.791657836911443E-1	6.955045459040466E-1	644	8.926271667234038E-1	136	-4.773763453522904E3	-7.240365146620711E2
63	-4.0622198307407007E3	94	386	94	386	-4.0622198307407007E3	-6.734577784456726E2	641	129	8.174002292111383E-2	1.576985902870106E-2	5.331891676545504E-2	5.598589962410173E-2	3.175652888845546E-2	5.2571977137860465E-2	1.768539462001373E-2	4.883207341473725E-2	7.090424419931796E-2	9.086090982240067E-2	2.441075969031029E-2	6.016659299708653E-2	4.680488573292371E-2	4.710897066395933E-2	5.3164513386208166E-2	6.1703539569744156E-2	6.844956731967791E-2	6.305954849598285E-2	2.0641581990669913E-2	3.506421373127989E-2	7.81396967848276E-1	-6.734577784456726E2	2.2460131157974788E0	7.006205540271533E-1	2.2460131157974788E0	7.006205540271533E-1	641	3.1193965391354717E-1	129	-4.766395674409071E3	-7.041758436683702E2
64	-4.0647579980426576E3	95	380	95	380	-4.0647579980426576E3	-6.827542663446324E2	645	137	8.28111564800803E-2	1.5976509634146988E-2	5.401761587311662E-2	5.671954727641739E-2	3.217267122109881E-2	5.3260888236257464E-2	1.7917146692059807E-2	4.9471976252040334E-2	7.183338408356219E-2	9.205156485565073E-2	2.4730641958136318E-2	6.095502508438914E-2	4.741822399783355E-2	4.1796869064104514E-2	5.3861189168756554E-2	6.251211203618393E-2	6.934654074876051E-2	6.388589030741723E-2	1.373734656620967E-2	3.552370046377805E-2	8.332759283691495E-1	-6.827542663446324E2	9.105666950633016E-1	6.158697009137382E-1	9.105666950633016E-1	6.158697009137382E-1	645	6.763586942644806E-1	137	-4.786744979854078E3	-7.219869818114212E2
65	-4.0575911531971424E3	95	384	95	384	-4.0575911531971424E3	-6.844465768335436E2	638	124	7.645449298155586E-2	1.6395257777074762E-2	5.543343051913339E-2	5.8206180191465354E-2	3.223660160238513E-2	6.016135107592909E-2	1.838675939694177E-2	5.076864859518037E-2	5.0002087634202094E-2	9.44642584113516E-2	2.5378838005366014E-2	6.255267088692719E-2	4.996689877535477E-2	4.2892375010120457E-2	5.5272903833397224E-2	6.415056946055755E-2	7.116413018612694E-2	6.556035478921746E-2	1.4097405708981417E-2	3.645478515873143E-2	9.374124758784972E-1	-6.844465768335436E2	1.069733333068601E0	6.567394492897104E-1	1.069733333068601E0	6.567394492897104E-1	638	6.139281903143186E-1	124	-4.776650356998746E3	-7.19059203801604E2
66	-4.0501202315320347E3	95	381	95	381	-4.0501202315320347E3	-6.875542431541841E2	642	132	7.643115158896624E-2	1.639025234006957E-2	5.5416506811789605E-2	5.8188409969598606E-2	3.222675983711519E-2	6.01429839445883E-2	1.8381145958767005E-2	5.027620716655988E-2	4.998682210418213E-2	9.443541867603611E-2	2.537108990060133E-2	6.253357369078132E-2	4.995164398841787E-2	4.287928006010287E-2	5.525602913450601E-2	6.930990776510859E-2	7.114240392994244E-2	6.554033935363253E-2	9.696418188157743E-3	3.6443655591076506E-2	9.429552580643795E-1	-6.875542431541841E2	8.939226819591706E-1	7.656991336379606E-1	8.939226819591706E-1	7.656991336379606E-1	642	8.565608067577074E-1	132	-4.782046263306156E3	-7.31926031774121E2
