,n_sequences,alignment_length,log_likelihood,aic_score,bic_score,freq_A,freq_R,freq_N,freq_D,freq_C,freq_Q,freq_E,freq_G,freq_H,freq_I,freq_L,freq_K,freq_M,freq_F,freq_P,freq_S,freq_T,freq_W,freq_Y,freq_V,gamma_shape,prop_invariant,insertion_rate,deletion_rate,insertion_events,deletion_events,mean_insertion_length,mean_deletion_length,total_gaps,indel_to_substitution_ratio
count,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0
mean,169.45421245421200,615.5091575091580,-14319.779911904800,29316.79342728940,30754.126694505500,0.07862747252747250,0.05739285714285710,0.03974468864468860,0.05057326007326010,0.014549450549450500,0.04226245421245420,0.06995421245421250,0.06141556776556780,0.023488461538461500,0.05552417582417580,0.09845329670329670,0.0599959706959707,0.02285311355311360,0.04041098901098900,0.053312087912087900,0.06896813186813190,0.05253296703296700,0.01203003663003660,0.032065384615384600,0.06599560439560440,0.8701531135531140,0.261046336996337,0.010838024768746000,0.015918019545077100,10.836996336996300,14.152014652014700,4.995444471694190,6.242965296589910,10126.78205128210,5.77789337341643E-05
std,24.329291264139400,491.11892551453900,15908.386941909800,31820.48691069290,31992.169783864900,0.013029556232600900,0.011580383773239900,0.007158969429839430,0.008089514064070120,0.006461556723722270,0.009912024049344330,0.01407854215446850,0.01723884229887530,0.005892647776023900,0.01398248582584470,0.01374863189630380,0.014935755457102600,0.005715878367963870,0.00792947284316689,0.023516005879259300,0.019067266031995100,0.008107754425410550,0.003726849617579210,0.0072569632197566300,0.010042837554585700,0.5047569529394780,0.21699049536397000,0.009819008912806020,0.012601119701102200,12.343886996842300,13.708925826259200,6.312566128121690,7.891571667287210,21795.690031278400,0.00013701702013241300
min,9.0,44.0,-188209.4746,871.0365,1003.0122,0.0296,0.0112,0.0065,0.0121,0.0001,0.0054,0.0153,0.0275,0.005,0.0079,0.0201,0.0063,0.0059,0.0089,0.0201,0.0176,0.0068,0.0,0.0008,0.0239,0.0217,0.0,0.0,0.0010612331529237000,0.0,1.0,1.0,1.0,4.0,3.01088434691409E-06
25%,168.0,308.0,-17938.605750000000,9505.89155,10912.56255,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.5828250000000000,0.07865,0.0035637973137973100,0.007376439422520580,2.0,5.0,2.240290099664740,2.800362624580930,1827.25,1.93687761786435E-05
50%,177.0,475.0,-9740.3577,20180.932800000000,21831.04255,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.7456,0.21825,0.008356296232322130,0.012673252969080400,7.0,9.5,3.1468808099042400,3.9336010123803000,4437.5,3.30662542552781E-05
75%,181.75,759.75,-4405.989175,36517.211575,37687.42025,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,1.0,0.415275,0.015755467501228000,0.02028450728446150,15.0,19.0,5.075017023259150,6.343771279073940,9791.5,5.98539308851983E-05
max,188.0,3125.0,-240.4581,377048.9493,378953.814,0.1929,0.145,0.0643,0.1087,0.0649,0.1287,0.2063,0.2775,0.0812,0.0884,0.1804,0.2001,0.0927,0.0792,0.2405,0.1721,0.1329,0.0338,0.0737,0.1032,4.1009,0.8983,0.0681973175721755,0.08535336292249920,83.0,102.0,56.800000000000000,71.0,316966.0,0.0027816411682892900
