iter	likelihood	#indels	#substs	P1/#indels	P1/#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/|indels|	f:pi[A]	f:pi[C]	f:pi[D]	f:pi[E]	f:pi[F]	f:pi[G]	f:pi[H]	f:pi[I]	f:pi[K]	f:pi[L]	f:pi[M]	f:pi[N]	f:pi[P]	f:pi[Q]	f:pi[R]	f:pi[S]	f:pi[T]	f:pi[V]	f:pi[W]	f:pi[Y]	sigma	prior_A	scale	scale*|T|	scale1	scale1*|T|	|A|	|T|	|indels|	posterior	prior
0	-5.875637778146672E3	10	875	10	875	-5.875637778146672E3	-1.5716945142047123E2	156	30	6.658474847457493E-2	1.3599272552051722E-1	2.346497439021554E-3	1.7442336479319503E-2	7.064312388798316E-2	6.812992124095894E-2	1.4204648191623136E-2	3.423139585302987E-2	1.1231552364423846E-2	6.568484347541101E-3	1.377613848324936E-2	6.1901829684017244E-2	7.105675676207973E-3	6.2011334728992104E-2	8.124715411610436E-3	5.1408227984526954E-2	1.0311880005969423E-1	7.73843386535364E-2	1.281882833929725E-1	5.9605222126199536E-2	2.791759646056501E-2	-1.5716945142047123E2	3.422052922595951E0	2.34647317324304E0	3.422052922595951E0	2.34647317324304E0	156	6.856916670543534E-1	30	-6.060849923710721E3	-1.852121455640487E2
1	-2.6036688803923203E3	89	302	89	302	-2.6036688803923203E3	-6.12871964995975E2	233	191	6.854583665308897E-2	1.3999805305410437E-1	2.4156076856471117E-3	1.795605712344447E-2	7.272374142163542E-2	7.013651864065858E-2	1.4623010778953172E-2	3.356215552265229E-2	1.156234980787508E-2	6.7619427190124E-3	1.4181880382768413E-2	5.469781775709164E-2	7.314955682338613E-3	4.508982859638552E-2	8.364008698925082E-3	5.2922329494083695E-2	1.0615590787210621E-1	7.96635019035639E-2	1.319637504923482E-1	6.136074571331689E-2	6.84463738175101E-1	-6.12871964995975E2	5.286163818396459E0	4.155235346723331E0	5.286163818396459E0	4.155235346723331E0	233	7.860587544151836E-1	191	-3.2536960464536032E3	-6.500271660612829E2
2	-1.8380110341996292E3	43	202	43	202	-1.8380110341996292E3	-3.157085144532725E2	177	64	8.241902590513529E-2	1.312639671673188E-1	9.785832432073304E-3	1.6835829079676016E-2	3.372693440073105E-2	6.576089794991292E-2	1.371072214864337E-2	3.146830676914704E-2	1.0841007231517883E-2	6.340084077545764E-3	1.3297112640667396E-2	5.128537431457066E-2	4.229120384979962E-2	4.227680065071064E-2	7.84220165417996E-3	8.536451868142793E-2	9.953313850840408E-2	7.469351944674407E-2	1.2373090220911476E-1	5.753262088267943E-2	4.900129905620389E-1	-3.157085144532725E2	2.0898570556711515E0	1.5042261791414204E0	2.0898570556711515E0	1.5042261791414204E0	177	7.197746731334898E-1	64	-2.20589245401676E3	-3.6788141981713056E2
3	-1.779596575812294E3	35	202	35	202	-1.779596575812294E3	-2.7640312457012755E2	167	46	9.028818705207275E-2	1.437967203645582E-1	1.072015908200904E-2	1.844327166487177E-2	3.69470972075206E-2	7.203958296774848E-2	1.5358854297784537E-2	3.4472821494578317E-2	1.1876079315457826E-2	6.945419347447703E-3	1.759488027372192E-2	3.7026216377027556E-2	4.632906154754898E-2	4.631328316726346E-2	8.590955329509148E-3	5.738355680238344E-2	1.0903631205093774E-1	8.182506868192757E-2	9.198678225914206E-2	6.302569071648895E-2	2.0139890637950445E-4	-2.7640312457012755E2	2.1273989780088303E0	1.3502304015204876E0	2.1273989780088303E0	1.3502304015204876E0	167	6.346860252721637E-1	46	-2.0885923777109692E3	-3.089958018986753E2
4	-1.740528396070405E3	37	200	37	200	-1.740528396070405E3	-2.7654556471436894E2	168	46	8.19905600677478E-2	1.3058157466154127E-1	9.73495953177516E-3	1.6748305870980987E-2	7.484470300024829E-2	6.254761124215048E-2	1.3947351331221353E-2	3.130471475549562E-2	7.10205774126572E-2	6.307124340354506E-3	1.597788298856212E-2	3.3623448615611694E-2	4.2071347622761865E-2	4.2057019300543744E-2	7.801432966831151E-3	5.210991730505487E-2	9.22596714502859E-2	7.430521564181916E-2	8.353305169265642E-2	5.723353020170041E-2	3.036891042136386E-1	-2.7654556471436894E2	1.3605757090419526E0	1.3252691423475218E0	1.3605757090419526E0	1.3252691423475218E0	168	9.740502741157331E-1	46	-2.051015688318502E3	-3.1048729224809665E2
5	-1.7364240978483042E3	35	200	35	200	-1.7364240978483042E3	-2.6446791551222316E2	169	49	8.168981221021271E-2	1.301025911202584E-1	9.699250930444069E-3	4.4471443022285125E-2	5.1693197721672836E-2	6.107865845914438E-2	1.3896191343685131E-2	3.1189886586427344E-2	7.076006831892602E-2	6.283989309553379E-3	1.591927485034736E-2	3.3500115147396196E-2	4.1917026592990826E-2	4.190275082819157E-2	7.772816693829243E-3	5.191877400791339E-2	9.192125568019435E-2	7.403265823533854E-2	8.322664585387235E-2	5.702359308731666E-2	2.934055402296586E-1	-2.6446791551222316E2	1.4434760546665097E0	1.3804178940772742E0	1.4434760546665097E0	1.3804178940772742E0	169	9.563150629444948E-1	49	-2.0346870470646527E3	-2.9826294921634843E2
6	-1.7242854848381114E3	38	199	38	199	-1.7242854848381114E3	-2.782455054457356E2	168	47	8.22007237952625E-2	1.3465942150760926E-1	9.759912835920323E-3	4.9773675477791594E-2	5.201650185066642E-2	6.1460661959480196E-2	1.3983102121828279E-2	3.1384957109449094E-2	7.120262214154986E-2	6.323291186393518E-3	1.601883857471613E-2	3.370963450441544E-2	4.217918773546095E-2	4.216482268592198E-2	7.821430125417585E-3	5.2243488955892044E-2	9.249615765595705E-2	5.947416549533414E-2	8.374716923862635E-2	5.7380235042307375E-2	4.490023963363177E-1	-2.782455054457356E2	1.3673440506521375E0	1.3393166716464373E0	1.3673440506521375E0	1.3393166716464373E0	168	9.795023213123771E-1	47	-2.0400719683064297E3	-3.1578648346831824E2
7	-1.6822387931037204E3	36	200	36	200	-1.6822387931037204E3	-2.7336578020282246E2	167	45	8.056700935243981E-2	2.646813096269411E-2	1.2895141468058575E-2	6.576273758400197E-2	6.897905561138025E-2	8.120399679914655E-2	2.2845028159775082E-2	5.7062626209443454E-2	9.407541858701708E-2	8.354555595227657E-3	2.1164655161131876E-2	4.453835941763266E-2	5.5728632212244736E-2	3.429155602510748E-2	1.0333949661783463E-2	6.902594236208233E-2	2.3954032882525678E-2	3.628666210654476E-2	1.106497171682678E-1	7.581279267349456E-2	4.504694383873107E-1	-2.7336578020282246E2	2.476145703746597E0	1.3702869133975804E0	2.476145703746597E0	1.3702869133975804E0	167	5.533951056774373E-1	45	-1.9774268273515622E3	-2.951880342478419E2
8	-1.6575373486810895E3	37	199	37	199	-1.6575373486810895E3	-2.7496170497315774E2	169	49	4.090992960477299E-2	2.6855612402923057E-2	1.2347143215219866E-1	6.672547425431553E-2	6.998887771977176E-2	8.239278650539476E-2	2.317946901719328E-2	5.789799719268536E-2	9.545264007408079E-2	8.476862502318088E-3	2.147449611950341E-2	4.5190380811848334E-2	5.654447412801981E-2	3.479356886216909E-2	1.0485234000819155E-2	5.594588891951023E-2	2.430470906641244E-2	4.034145050004463E-2	5.132800959043053E-2	6.424070657558814E-2	3.1746203005407403E-1	-2.7496170497315774E2	1.918212199686724E0	1.1417720459900058E0	1.918212199686724E0	1.1417720459900058E0	169	5.952271840292102E-1	49	-1.94771954490992E3	-2.901821962288305E2
9	-1.6484423674438096E3	36	200	36	200	-1.6484423674438096E3	-2.748340410734293E2	167	45	4.097128387306041E-2	2.6895888845936043E-2	1.2365660722943013E-1	6.682554513413749E-2	6.859410260141013E-2	8.251635428409879E-2	2.3214232199984842E-2	5.798482914980146E-2	9.559579424091574E-2	8.489575594255115E-3	2.150670228580538E-2	4.525815464512369E-2	5.662927615210876E-2	3.484575017803225E-2	1.0500959128340948E-2	5.602979322126551E-2	2.434115981700318E-2	4.040195219733414E-2	5.140498827265987E-2	6.433705094929619E-2	2.545713069793597E-2	-2.748340410734293E2	6.993925420203976E-1	1.2153228721817528E0	6.993925420203976E-1	1.2153228721817528E0	167	1.7376834884040102E0	45	-1.9642376588668717E3	-3.15795291423062E2
10	-1.6583002047365292E3	34	203	34	203	-1.6583002047365292E3	-2.6777054972801767E2	166	44	4.1880347808057716E-2	2.7492650290495343E-2	1.264002791706044E-1	6.830825905655677E-2	7.011605697856958E-2	8.434721323300415E-2	2.3729305667954326E-2	5.927138675732921E-2	9.771685759717E-2	8.677940865406531E-3	2.198388936808778E-2	4.626233494564547E-2	3.678217495444508E-2	3.453465252192027E-2	1.0733952638039876E-2	5.727297282141222E-2	2.4881237364834007E-2	4.129838389715283E-2	5.254555348078021E-2	6.576455058253432E-2	4.959084022084958E-3	-2.6777054972801767E2	1.674759629633136E0	1.3250390234651357E0	1.674759629633136E0	1.3250390234651357E0	166	7.911816119877405E-1	44	-1.9643849473034666E3	-3.060847425669373E2
11	-1.6384586883571026E3	38	200	38	200	-1.6384586883571026E3	-2.9034303307143955E2	169	49	3.502004611142755E-2	2.2989156759420676E-2	1.056950058136867E-1	5.323178514491171E-2	5.863054337071575E-2	7.053053404255401E-2	1.4329807677168082E-2	4.956230800286157E-2	8.171013465791455E-2	7.256431838904354E-3	1.8382770432265435E-2	3.868423229061874E-2	3.0756990579133416E-2	2.8877628459596693E-2	1.55376333928659E-1	4.7891248619441946E-2	6.499770957549235E-2	3.453341206797401E-2	4.3938214512472686E-2	3.7605706114781076E-2	1.0792547730504878E-2	-2.9034303307143955E2	8.88422849836008E-1	1.4221969650603676E0	8.88422849836008E-1	1.4221969650603676E0	169	1.6008108811281563E0	49	-1.980428242519101E3	-3.419695541619986E2
12	-1.647440396561782E3	35	202	35	202	-1.647440396561782E3	-2.7001670575261716E2	167	45	5.39257280581412E-2	2.3209416048554515E-2	1.0670767048378077E-1	5.37417992910608E-2	5.9192283061279764E-2	7.120628763599876E-2	1.4467101675613861E-2	5.003716486006531E-2	8.249300009152413E-2	7.325955768607877E-3	1.855889589828811E-2	3.905486622009197E-2	3.1051673544313513E-2	2.9154305241739887E-2	1.5686499578857363E-1	3.2176294190324355E-2	6.562045313482534E-2	3.0349961582439626E-2	4.435918688634462E-2	3.0502960538431906E-2	7.3238405013232215E-3	-2.7001670575261716E2	2.173616093462048E0	1.2395412321082433E0	2.173616093462048E0	1.2395412321082433E0	167	5.702668635168008E-1	45	-1.9405081902776124E3	-2.9306779371583025E2
