,n_sequences,alignment_length,log_likelihood,aic_score,bic_score,freq_A,freq_R,freq_N,freq_D,freq_C,freq_Q,freq_E,freq_G,freq_H,freq_I,freq_L,freq_K,freq_M,freq_F,freq_P,freq_S,freq_T,freq_W,freq_Y,freq_V,gamma_shape,prop_invariant,insertion_rate,deletion_rate,insertion_events,deletion_events,mean_insertion_length,mean_deletion_length,total_gaps,indel_to_substitution_ratio
count,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
mean,289.6666666666667,2113.0,-66995.84136666666,135159.68273333332,138523.65833333333,0.06996666666666666,0.055766666666666666,0.043300000000000005,0.05103333333333334,0.0168,0.0473,0.06796666666666666,0.0573,0.024999999999999998,0.056,0.09189999999999998,0.05826666666666667,0.02563333333333333,0.03893333333333333,0.057133333333333335,0.07453333333333333,0.057133333333333335,0.010666666666666666,0.03253333333333333,0.06293333333333333,1.3453333333333333,0.0141,0.058123855286443704,0.5231146975779933,84.0,89.66666666666667,18.019374725965825,22.524218407457283,597690.0,0.0001624286605745803
std,308.3282882470133,569.7376589273347,2894.191286026853,4604.0743957559025,1637.7329439024409,0.015819397375795748,0.0002309401076758489,0.002251666049839541,0.0035795716689756823,0.006754998149518621,0.0112583302491977,0.00629311793416692,0.0,0.0045033320996790815,0.010738715006927038,0.012470765814495912,0.010969655114602891,0.004561067126598044,0.005831237718815219,0.02274760060607126,0.023094010767585032,0.006639528095680694,0.002482606157515391,0.0028867513459481294,0.010680979980008075,0.4837780103863066,0.024421916386721167,0.03945448855452726,0.3550903969907453,32.90896534380867,37.819747927945436,22.457554372922043,28.07194296615256,856115.5618840251,0.0002220842172015351
min,42.0,1553.0,-69843.849,130651.1556,137118.7201,0.0517,0.0555,0.042,0.0469,0.0129,0.0408,0.0607,0.0573,0.0224,0.0436,0.0775,0.0456,0.023,0.0322,0.044,0.0612,0.0533,0.0078,0.0292,0.0506,0.8926,0.0,0.015020239232273616,0.13518215309046255,47.0,46.0,2.590831086050503,3.238538857563128,13210.0,6.121545054275396e-06
25%,117.0,1823.5,-68464.97315,132812.6751,137624.29499999998,0.0654,0.0557,0.042,0.05,0.0129,0.0408,0.06615,0.0573,0.0224,0.0529,0.08829999999999999,0.0551,0.023,0.03725,0.044,0.0612,0.0533,0.00995,0.0317,0.05985,1.09045,0.0,0.04096016254380369,0.3686414628942332,71.0,78.5,5.137110295071472,6.421387868839339,106345.0,3.532139868107548e-05
50%,192.0,2094.0,-67086.0973,134974.1946,138129.8699,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,1.2883,0.0,0.06690008585533376,0.6021007726980039,95.0,111.0,7.683389504092441,9.60423688011555,199480.0,6.452125230787556e-05
75%,413.5,2393.0,-65571.83755,137413.9463,139226.12745,0.0791,0.0559,0.04395,0.0531,0.01875,0.05055,0.0716,0.0573,0.0263,0.0622,0.0991,0.0646,0.02695,0.0423,0.0637,0.0812,0.05905,0.0121,0.0342,0.0691,1.5716999999999999,0.02115,0.07967566331352875,0.7170809698217588,102.5,111.5,25.733646545923488,32.16705818240436,889930.0,0.00024058221833473273
max,635.0,2692.0,-64057.5778,139853.698,140322.385,0.0791,0.0559,0.0459,0.0531,0.0246,0.0603,0.0716,0.0573,0.0302,0.0622,0.0991,0.0646,0.0309,0.0423,0.0834,0.1012,0.0648,0.0121,0.0342,0.0691,1.8551,0.0423,0.09245124077172374,0.8320611669455137,110.0,112.0,43.78390358775454,54.72987948469317,1580380.0,0.0004166431843615899
