,n_sequences,alignment_length,log_likelihood,aic_score,bic_score,freq_A,freq_R,freq_N,freq_D,freq_C,freq_Q,freq_E,freq_G,freq_H,freq_I,freq_L,freq_K,freq_M,freq_F,freq_P,freq_S,freq_T,freq_W,freq_Y,freq_V,gamma_shape,prop_invariant,insertion_rate,deletion_rate,insertion_events,deletion_events,mean_insertion_length,mean_deletion_length,total_gaps,indel_to_substitution_ratio
count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mean,21.0,113.0,-2908.1839,5893.6906,6005.4634,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,1.4621,0.0525,0.012642225031605562,0.11378002528445005,3.0,6.0,3.5294117647058827,4.411764705882353,300.0,0.0007808433107756377
std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,21.0,113.0,-2908.1839,5893.6906,6005.4634,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,1.4621,0.0525,0.012642225031605562,0.11378002528445005,3.0,6.0,3.5294117647058827,4.411764705882353,300.0,0.0007808433107756377
25%,21.0,113.0,-2908.1839,5893.6906,6005.4634,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,1.4621,0.0525,0.012642225031605562,0.11378002528445005,3.0,6.0,3.5294117647058827,4.411764705882353,300.0,0.0007808433107756377
50%,21.0,113.0,-2908.1839,5893.6906,6005.4634,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,1.4621,0.0525,0.012642225031605562,0.11378002528445005,3.0,6.0,3.5294117647058827,4.411764705882353,300.0,0.0007808433107756377
75%,21.0,113.0,-2908.1839,5893.6906,6005.4634,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,1.4621,0.0525,0.012642225031605562,0.11378002528445005,3.0,6.0,3.5294117647058827,4.411764705882353,300.0,0.0007808433107756377
max,21.0,113.0,-2908.1839,5893.6906,6005.4634,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,1.4621,0.0525,0.012642225031605562,0.11378002528445005,3.0,6.0,3.5294117647058827,4.411764705882353,300.0,0.0007808433107756377
